feature	chromosome	start	end	SLX-16150.D707tp_D508tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D708tp_D502tp.HC22VBBXY.s_3.r_1
1:150000001-150500000	1	150000001	150500000	0.961	0.967	0.907
1:150500001-151000000	1	150500001	151000000	1.001	1.083	0.925
1:151000001-151500000	1	151000001	151500000	0.865	1.048	0.971
1:151500001-152000000	1	151500001	152000000	0.888	0.979	0.937
1:152000001-152500000	1	152000001	152500000	1.127	1.237	1.029
1:152500001-153000000	1	152500001	153000000	0.865	1.056	0.997
1:153000001-153500000	1	153000001	153500000	0.96	1.071	1.021
1:153500001-154000000	1	153500001	154000000	1.003	1.011	0.964
1:154000001-154500000	1	154000001	154500000	0.967	1.042	0.939
1:154500001-155000000	1	154500001	155000000	1.061	0.959	0.999
1:155000001-155500000	1	155000001	155500000	1.051	0.94	0.943
1:156000001-156500000	1	156000001	156500000	1.103	0.989	1.086
1:156500001-157000000	1	156500001	157000000	0.949	0.974	0.972
1:157000001-157500000	1	157000001	157500000	0.894	0.946	1.003
1:157500001-158000000	1	157500001	158000000	1.037	1.1	1.035
1:159500001-160000000	1	159500001	160000000	0.971	1.016	1.026
1:160000001-160500000	1	160000001	160500000	1	0.964	1.017
1:160500001-161000000	1	160500001	161000000	1.146	1.015	1.016
1:161000001-161500000	1	161000001	161500000	1.033	1.117	0.925
1:161500001-162000000	1	161500001	162000000	0.923	0.997	0.938
1:162000001-162500000	1	162000001	162500000	1.117	1.016	0.989
1:162500001-163000000	1	162500001	163000000	0.994	1.003	0.982
1:163000001-163500000	1	163000001	163500000	1.09	1.021	1.043
1:163500001-164000000	1	163500001	164000000	1.089	0.976	1.005
1:164000001-164500000	1	164000001	164500000	0.968	1.09	0.947
1:164500001-165000000	1	164500001	165000000	0.949	1.106	0.98
1:165000001-165500000	1	165000001	165500000	1.103	1.017	1.025
1:165500001-166000000	1	165500001	166000000	1.095	0.969	0.992
1:166000001-166500000	1	166000001	166500000	1.103	1.151	1.052
1:166500001-167000000	1	166500001	167000000	1.045	1.026	1.049
1:167000001-167500000	1	167000001	167500000	0.971	1.017	0.961
1:167500001-168000000	1	167500001	168000000	0.962	0.965	0.895
1:168000001-168500000	1	168000001	168500000	0.97	0.941	1.036
1:168500001-169000000	1	168500001	169000000	1.047	0.985	1.002
1:169500001-170000000	1	169500001	170000000	1.009	0.996	1.004
1:170500001-171000000	1	170500001	171000000	1.029	1.02	1.046
1:171000001-171500000	1	171000001	171500000	0.923	1.135	0.982
1:171500001-172000000	1	171500001	172000000	0.825	0.93	0.992
1:172000001-172500000	1	172000001	172500000	1.065	1.029	1.043
1:173000001-173500000	1	173000001	173500000	1.099	1.032	0.997
1:173500001-174000000	1	173500001	174000000	1.042	1.079	1.005
1:174000001-174500000	1	174000001	174500000	1.055	0.955	0.993
1:174500001-175000000	1	174500001	175000000	0.923	1.1	1.006
1:175000001-175500000	1	175000001	175500000	0.929	1.067	1.059
1:175500001-176000000	1	175500001	176000000	1.049	0.963	1.059
1:176000001-176500000	1	176000001	176500000	0.942	0.917	0.976
1:176500001-177000000	1	176500001	177000000	0.945	0.982	1.02
1:177000001-177500000	1	177000001	177500000	1.04	0.943	0.994
1:177500001-178000000	1	177500001	178000000	1.11	1.036	1.068
1:178000001-178500000	1	178000001	178500000	1.036	1.027	0.963
1:178500001-179000000	1	178500001	179000000	1.008	1.123	1.048
1:179000001-179500000	1	179000001	179500000	1.052	0.878	1.027
1:179500001-180000000	1	179500001	180000000	0.996	1.108	0.957
1:180000001-180500000	1	180000001	180500000	0.906	1.043	1.009
1:180500001-181000000	1	180500001	181000000	0.986	0.975	1.036
1:181500001-182000000	1	181500001	182000000	0.992	1.12	1.016
1:182000001-182500000	1	182000001	182500000	1.074	1.096	1.004
1:182500001-183000000	1	182500001	183000000	0.918	0.931	0.96
1:183000001-183500000	1	183000001	183500000	1.101	0.997	1.026
1:183500001-184000000	1	183500001	184000000	1.027	0.979	0.998
1:184000001-184500000	1	184000001	184500000	0.997	1.052	1.001
1:184500001-185000000	1	184500001	185000000	1.007	0.993	0.953
1:185000001-185500000	1	185000001	185500000	0.906	0.994	0.988
1:185500001-186000000	1	185500001	186000000	0.985	0.969	1.092
1:186000001-186500000	1	186000001	186500000	0.987	1.019	1.046
1:186500001-187000000	1	186500001	187000000	1.069	0.931	1.013
1:187000001-187500000	1	187000001	187500000	0.994	0.949	0.984
1:187500001-188000000	1	187500001	188000000	0.896	1.004	0.963
1:188000001-188500000	1	188000001	188500000	1.006	1.097	0.972
1:188500001-189000000	1	188500001	189000000	1.083	1.101	0.939
1:189000001-189500000	1	189000001	189500000	0.886	0.995	1.007
1:189500001-190000000	1	189500001	190000000	0.894	0.997	0.948
1:190000001-190500000	1	190000001	190500000	0.996	0.988	1.013
1:190500001-191000000	1	190500001	191000000	0.948	1.044	0.955
