feature	chromosome	start	end	SLX-16150.D707tp_D508tp.HC22VBBXY.s_3.r_1	SLX-17921.D702tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D708tp_D502tp.HC22VBBXY.s_3.r_1
8:79000001-79500000	8	79000001	79500000	0.954	0.974	1.022
8:79500001-80000000	8	79500001	80000000	0.993	0.965	0.946
8:80000001-80500000	8	80000001	80500000	0.967	1.035	1.022
8:80500001-81000000	8	80500001	81000000	0.845	0.969	1.059
8:81000001-81500000	8	81000001	81500000	1.002	1.005	0.993
8:81500001-82000000	8	81500001	82000000	0.919	0.915	0.974
8:82000001-82500000	8	82000001	82500000	0.974	1.055	1.027
8:82500001-83000000	8	82500001	83000000	0.989	0.978	0.944
8:83000001-83500000	8	83000001	83500000	0.974	0.95	1.024
8:83500001-84000000	8	83500001	84000000	0.963	1.009	0.97
8:84000001-84500000	8	84000001	84500000	1.111	1.019	0.961
8:84500001-85000000	8	84500001	85000000	0.998	1.101	1.051
8:85000001-85500000	8	85000001	85500000	0.978	0.972	0.98
8:86000001-86500000	8	86000001	86500000	0.959	0.992	0.962
8:86500001-87000000	8	86500001	87000000	0.936	0.919	0.972
8:87000001-87500000	8	87000001	87500000	0.916	1.01	1.068
8:87500001-88000000	8	87500001	88000000	0.99	1.017	0.974
8:88000001-88500000	8	88000001	88500000	1.105	1.128	0.938
8:88500001-89000000	8	88500001	89000000	1.108	0.932	0.99
8:89000001-89500000	8	89000001	89500000	0.863	1.009	1.027
8:89500001-90000000	8	89500001	90000000	1.042	0.907	0.938
8:90000001-90500000	8	90000001	90500000	1.014	1.094	1.079
8:90500001-91000000	8	90500001	91000000	1.009	1.007	0.985
8:91000001-91500000	8	91000001	91500000	0.991	1.021	0.994
8:91500001-92000000	8	91500001	92000000	1.001	1.051	1.049
8:92000001-92500000	8	92000001	92500000	1.066	1.085	1.063
8:92500001-93000000	8	92500001	93000000	0.993	1.091	1.031
8:93000001-93500000	8	93000001	93500000	1.012	0.934	1.068
8:93500001-94000000	8	93500001	94000000	1.129	0.981	0.943
8:94000001-94500000	8	94000001	94500000	1.049	0.952	0.99
8:94500001-95000000	8	94500001	95000000	1.028	0.943	1
8:95000001-95500000	8	95000001	95500000	1.009	0.983	0.98
8:95500001-96000000	8	95500001	96000000	1.076	1.019	1.094
8:96000001-96500000	8	96000001	96500000	1.055	1.001	1.014
8:96500001-97000000	8	96500001	97000000	0.916	1.004	0.999
8:97000001-97500000	8	97000001	97500000	1.065	1.008	1.024
8:98000001-98500000	8	98000001	98500000	0.913	0.971	0.923
8:98500001-99000000	8	98500001	99000000	1.107	0.932	1.038
8:99500001-100000000	8	99500001	100000000	1.022	1.089	1.058
8:100000001-100500000	8	100000001	100500000	0.921	0.999	1.011
8:100500001-101000000	8	100500001	101000000	0.853	1.044	0.947
8:101000001-101500000	8	101000001	101500000	1.024	1.045	0.988
8:101500001-102000000	8	101500001	102000000	1.034	0.91	1.064
8:102000001-102500000	8	102000001	102500000	0.978	0.991	1.019
8:103500001-104000000	8	103500001	104000000	0.983	1.126	0.975
8:104000001-104500000	8	104000001	104500000	0.986	1.043	0.984
8:104500001-105000000	8	104500001	105000000	0.963	1.017	0.999
8:105000001-105500000	8	105000001	105500000	0.949	0.908	1.047
8:105500001-106000000	8	105500001	106000000	1.274	1.114	1.078
8:106000001-106500000	8	106000001	106500000	1.069	1.035	1.051
8:106500001-107000000	8	106500001	107000000	0.999	1.032	1.099
8:107000001-107500000	8	107000001	107500000	1.033	0.996	0.976
8:107500001-108000000	8	107500001	108000000	1.04	1.019	1.052
8:108000001-108500000	8	108000001	108500000	1.066	0.972	1.041
8:109000001-109500000	8	109000001	109500000	1.012	1.011	1.015
8:109500001-110000000	8	109500001	110000000	1.035	1.015	0.995
8:110000001-110500000	8	110000001	110500000	1.078	1.075	0.961
8:111500001-112000000	8	111500001	112000000	1.047	1.006	1.002
8:112000001-112500000	8	112000001	112500000	0.953	0.946	0.965
8:112500001-113000000	8	112500001	113000000	0.999	1.004	0.994
8:113000001-113500000	8	113000001	113500000	0.949	0.943	0.994
8:113500001-114000000	8	113500001	114000000	1.054	1.09	1.059
8:114000001-114500000	8	114000001	114500000	1.024	1.027	1.03
8:114500001-115000000	8	114500001	115000000	1.047	0.977	0.983
8:115000001-115500000	8	115000001	115500000	1.004	1.126	1.037
8:115500001-116000000	8	115500001	116000000	0.967	1.109	1.065
8:116000001-116500000	8	116000001	116500000	0.929	1.086	1.031
8:116500001-117000000	8	116500001	117000000	0.975	0.952	0.975
8:117000001-117500000	8	117000001	117500000	0.996	1.074	1.093
8:117500001-118000000	8	117500001	118000000	1.018	1.063	1.066
8:118000001-118500000	8	118000001	118500000	1.059	0.968	1.048
8:118500001-119000000	8	118500001	119000000	1.17	1.002	1.037
8:119000001-119500000	8	119000001	119500000	1.121	1.075	1.111
8:119500001-120000000	8	119500001	120000000	1.079	1.074	0.987
8:120500001-121000000	8	120500001	121000000	1.011	0.984	0.946
8:121000001-121500000	8	121000001	121500000	1.047	1.047	1.047
8:121500001-122000000	8	121500001	122000000	1.009	1.094	1.081
8:122000001-122500000	8	122000001	122500000	1.087	1.141	1.063
8:122500001-123000000	8	122500001	123000000	1.026	1.17	1.034
8:123000001-123500000	8	123000001	123500000	1.07	0.961	1.021
8:123500001-124000000	8	123500001	124000000	0.981	1.09	1.067
8:124000001-124500000	8	124000001	124500000	0.955	1.097	1.021
8:124500001-125000000	8	124500001	125000000	0.826	0.888	0.967
8:125000001-125500000	8	125000001	125500000	0.959	0.943	0.982
8:125500001-126000000	8	125500001	126000000	0.977	0.928	0.988
8:126000001-126500000	8	126000001	126500000	1.078	1.024	1.025
8:126500001-127000000	8	126500001	127000000	1.002	0.969	1.054
8:128000001-128500000	8	128000001	128500000	1.097	1.033	0.99
8:128500001-129000000	8	128500001	129000000	1.055	1.113	1.153
8:129000001-129500000	8	129000001	129500000	0.993	1.005	1.068
8:129500001-130000000	8	129500001	130000000	1.02	0.912	0.975
8:130000001-130500000	8	130000001	130500000	0.905	1.01	0.94
8:130500001-131000000	8	130500001	131000000	1.024	1.136	0.976
8:131000001-131500000	8	131000001	131500000	0.988	1.047	1.09
8:131500001-132000000	8	131500001	132000000	0.974	1.022	0.998
8:132000001-132500000	8	132000001	132500000	0.982	1.099	1.019
8:132500001-133000000	8	132500001	133000000	0.98	0.997	1.008
8:133000001-133500000	8	133000001	133500000	0.963	0.957	0.978
8:134000001-134500000	8	134000001	134500000	1.023	0.931	1.067
8:134500001-135000000	8	134500001	135000000	0.938	0.921	0.987
8:135000001-135500000	8	135000001	135500000	1.05	1.013	1.013
8:135500001-136000000	8	135500001	136000000	0.991	1.089	0.996
8:136000001-136500000	8	136000001	136500000	1.042	0.917	1
8:136500001-137000000	8	136500001	137000000	1.032	0.972	0.984
8:137000001-137500000	8	137000001	137500000	1.056	0.95	1
8:137500001-138000000	8	137500001	138000000	0.992	0.955	0.973
8:138000001-138500000	8	138000001	138500000	1.046	1.028	1.066
8:138500001-139000000	8	138500001	139000000	1.101	0.934	1.013
8:139000001-139500000	8	139000001	139500000	1.01	0.928	1.017
8:139500001-140000000	8	139500001	140000000	0.984	0.922	1.054
8:140000001-140500000	8	140000001	140500000	1.071	0.958	1.014
8:140500001-141000000	8	140500001	141000000	0.939	0.965	0.925
8:141000001-141500000	8	141000001	141500000	0.918	0.994	0.949
8:141500001-142000000	8	141500001	142000000	1.101	0.957	1.014
8:142000001-142500000	8	142000001	142500000	0.963	1.028	0.96
8:142500001-143000000	8	142500001	143000000	1.017	0.987	1.034
8:143000001-143500000	8	143000001	143500000	1.1	1.087	1.011
8:143500001-144000000	8	143500001	144000000	0.958	0.978	0.99
8:144000001-144500000	8	144000001	144500000	0.867	1.046	0.97
8:144500001-145000000	8	144500001	145000000	1.062	1.041	0.972
9:500001-1000000	9	500001	1000000	0.901	1.027	1.058
9:1000001-1500000	9	1000001	1500000	0.986	0.861	1.066
9:1500001-2000000	9	1500001	2000000	0.994	1.11	1.009
9:2000001-2500000	9	2000001	2500000	0.957	1.074	0.982
9:2500001-3000000	9	2500001	3000000	0.871	1.011	1.005
9:3000001-3500000	9	3000001	3500000	0.986	0.924	1.02
9:3500001-4000000	9	3500001	4000000	1.142	1.081	0.995
9:4000001-4500000	9	4000001	4500000	1.024	0.983	1.008
9:4500001-5000000	9	4500001	5000000	0.916	0.984	1.017
9:5500001-6000000	9	5500001	6000000	0.959	1.017	0.94
9:6000001-6500000	9	6000001	6500000	1.039	0.934	1.01
9:6500001-7000000	9	6500001	7000000	0.923	0.943	1.008
9:7000001-7500000	9	7000001	7500000	0.903	1.045	1.015
9:7500001-8000000	9	7500001	8000000	1.099	1.045	1.007
9:8000001-8500000	9	8000001	8500000	0.945	1.04	1.044
9:8500001-9000000	9	8500001	9000000	1.004	1.058	0.968
9:9000001-9500000	9	9000001	9500000	0.973	1.018	1.025
9:10000001-10500000	9	10000001	10500000	1.095	0.989	1.007
9:10500001-11000000	9	10500001	11000000	0.952	1.063	0.986
9:11000001-11500000	9	11000001	11500000	0.966	0.837	0.876
9:11500001-12000000	9	11500001	12000000	0.98	0.915	0.986
9:12000001-12500000	9	12000001	12500000	0.905	0.961	0.972
9:12500001-13000000	9	12500001	13000000	0.953	1.031	1.001
9:13000001-13500000	9	13000001	13500000	0.983	0.969	1.056
9:13500001-14000000	9	13500001	14000000	0.999	1	1.021
9:14000001-14500000	9	14000001	14500000	0.937	0.971	0.933
9:14500001-15000000	9	14500001	15000000	1.014	1.071	0.997
9:15000001-15500000	9	15000001	15500000	0.99	0.948	0.975
9:16000001-16500000	9	16000001	16500000	1.016	1.074	0.936
9:16500001-17000000	9	16500001	17000000	0.878	1.054	1.009
9:17000001-17500000	9	17000001	17500000	1.023	1.075	1.003
9:17500001-18000000	9	17500001	18000000	1.057	1.058	1.056
9:18500001-19000000	9	18500001	19000000	1.001	1.025	0.962
9:19000001-19500000	9	19000001	19500000	0.869	1.022	0.927
9:19500001-20000000	9	19500001	20000000	1.163	1.092	1.048
9:20000001-20500000	9	20000001	20500000	0.998	0.987	1.029
9:20500001-21000000	9	20500001	21000000	0.91	1.023	1.008
9:21000001-21500000	9	21000001	21500000	0.956	0.956	0.995
9:21500001-22000000	9	21500001	22000000	0.987	1.095	0.968
9:22000001-22500000	9	22000001	22500000	1.02	0.999	1.037
9:22500001-23000000	9	22500001	23000000	0.946	0.996	1.048
9:23000001-23500000	9	23000001	23500000	0.944	0.927	0.964
9:23500001-24000000	9	23500001	24000000	0.903	0.987	0.938
9:24000001-24500000	9	24000001	24500000	1.037	0.983	1.002
9:24500001-25000000	9	24500001	25000000	0.999	1	0.987
9:25000001-25500000	9	25000001	25500000	0.996	1.01	1.031
9:25500001-26000000	9	25500001	26000000	1.024	0.944	0.96
9:26000001-26500000	9	26000001	26500000	0.959	0.999	1.067
9:26500001-27000000	9	26500001	27000000	0.975	0.939	1.054
9:27000001-27500000	9	27000001	27500000	0.981	1.021	1.005
9:27500001-28000000	9	27500001	28000000	1.049	0.943	0.966
9:28000001-28500000	9	28000001	28500000	1.066	0.999	1.079
9:28500001-29000000	9	28500001	29000000	1.021	1.062	1.085
9:29000001-29500000	9	29000001	29500000	0.943	1.012	1.086
9:29500001-30000000	9	29500001	30000000	0.906	0.891	1.02
9:30000001-30500000	9	30000001	30500000	1.035	0.973	0.918
9:30500001-31000000	9	30500001	31000000	1.095	0.999	0.981
9:31500001-32000000	9	31500001	32000000	0.97	0.955	0.959
9:32000001-32500000	9	32000001	32500000	1.076	0.972	1.023
9:32500001-33000000	9	32500001	33000000	1.055	1.036	1.055
9:33000001-33500000	9	33000001	33500000	1.054	0.952	1.042
9:34000001-34500000	9	34000001	34500000	1.028	0.917	0.961
9:35000001-35500000	9	35000001	35500000	1.045	1.041	1.062
9:35500001-36000000	9	35500001	36000000	0.913	0.951	1.005
9:36500001-37000000	9	36500001	37000000	1.089	1.085	1.102
9:37000001-37500000	9	37000001	37500000	1	0.963	0.915
9:37500001-38000000	9	37500001	38000000	1.03	0.901	0.991
9:38000001-38500000	9	38000001	38500000	1.034	1.102	0.986
9:68500001-69000000	9	68500001	69000000	0.965	0.985	0.945
9:69000001-69500000	9	69000001	69500000	0.93	0.971	1.081
9:69500001-70000000	9	69500001	70000000	1.086	1.038	0.995
9:70000001-70500000	9	70000001	70500000	1.009	0.974	1.025
9:70500001-71000000	9	70500001	71000000	1.03	1.014	0.974
9:71000001-71500000	9	71000001	71500000	0.912	0.951	1.025
9:71500001-72000000	9	71500001	72000000	0.996	1.075	0.932
9:72000001-72500000	9	72000001	72500000	0.99	1.019	1.043
9:73000001-73500000	9	73000001	73500000	1.112	0.97	0.972
9:73500001-74000000	9	73500001	74000000	1.026	0.872	1.061
9:74000001-74500000	9	74000001	74500000	1.019	1.014	1.026
9:74500001-75000000	9	74500001	75000000	0.958	1.047	0.964
9:75000001-75500000	9	75000001	75500000	1.021	0.9	0.978
9:75500001-76000000	9	75500001	76000000	0.989	0.915	0.927
9:76000001-76500000	9	76000001	76500000	0.845	1.045	1.059
9:76500001-77000000	9	76500001	77000000	0.95	1.048	0.957
9:77000001-77500000	9	77000001	77500000	0.998	0.966	1.003
9:77500001-78000000	9	77500001	78000000	0.948	1.104	0.955
9:78000001-78500000	9	78000001	78500000	1.118	1.037	1.06
9:79000001-79500000	9	79000001	79500000	1.036	1.141	1.069
9:80000001-80500000	9	80000001	80500000	0.976	0.96	1.033
9:81000001-81500000	9	81000001	81500000	0.992	1.032	1.054
9:82500001-83000000	9	82500001	83000000	1.011	0.935	1.074
9:83000001-83500000	9	83000001	83500000	1.176	1.01	0.997
9:83500001-84000000	9	83500001	84000000	0.891	0.978	0.928
9:84000001-84500000	9	84000001	84500000	1.007	0.945	0.966
9:84500001-85000000	9	84500001	85000000	1.044	1.068	0.933
9:85000001-85500000	9	85000001	85500000	1.076	1.102	1.078
9:85500001-86000000	9	85500001	86000000	0.866	1.024	0.984
9:86000001-86500000	9	86000001	86500000	1.119	1.098	1.004
9:86500001-87000000	9	86500001	87000000	1.007	0.973	1.015
9:87000001-87500000	9	87000001	87500000	0.943	1.024	1.055
9:87500001-88000000	9	87500001	88000000	1.268	0.964	1.136
9:88000001-88500000	9	88000001	88500000	1.119	1.073	1.123
9:88500001-89000000	9	88500001	89000000	0.895	0.997	1.032
9:89000001-89500000	9	89000001	89500000	0.948	0.975	0.934
9:89500001-90000000	9	89500001	90000000	1.032	1.003	0.929
9:90000001-90500000	9	90000001	90500000	1.14	1.113	1.08
9:90500001-91000000	9	90500001	91000000	0.966	1.049	0.986
9:91000001-91500000	9	91000001	91500000	1.068	1.018	0.987
9:91500001-92000000	9	91500001	92000000	1.082	1.12	1.067
9:93000001-93500000	9	93000001	93500000	0.966	0.93	0.912
9:93500001-94000000	9	93500001	94000000	1.028	1.014	0.958
9:94500001-95000000	9	94500001	95000000	1.005	0.985	1.065
9:95000001-95500000	9	95000001	95500000	0.949	0.979	1.042
9:96000001-96500000	9	96000001	96500000	1.125	1.05	1.02
9:97500001-98000000	9	97500001	98000000	0.96	1.029	0.965
9:98000001-98500000	9	98000001	98500000	1.076	1.015	1.029
9:98500001-99000000	9	98500001	99000000	1.056	1.049	1.032
9:99000001-99500000	9	99000001	99500000	0.976	1.073	0.969
9:99500001-100000000	9	99500001	100000000	1.086	1.038	1.033
9:100000001-100500000	9	100000001	100500000	0.978	0.995	1.03
9:100500001-101000000	9	100500001	101000000	0.991	1.046	1.076
9:101000001-101500000	9	101000001	101500000	0.991	0.9	1.029
9:101500001-102000000	9	101500001	102000000	1.039	0.977	0.944
9:102000001-102500000	9	102000001	102500000	0.798	0.879	1.021
9:102500001-103000000	9	102500001	103000000	1.003	0.967	1.036
9:103000001-103500000	9	103000001	103500000	0.921	1.029	0.936
9:103500001-104000000	9	103500001	104000000	1.018	1.112	0.939
9:104000001-104500000	9	104000001	104500000	1.045	0.969	0.99
9:104500001-105000000	9	104500001	105000000	1.006	1.026	1.013
9:105000001-105500000	9	105000001	105500000	0.961	0.931	0.982
9:105500001-106000000	9	105500001	106000000	1.002	1.05	1.052
9:106000001-106500000	9	106000001	106500000	1.089	1.092	0.986
9:106500001-107000000	9	106500001	107000000	0.945	1.13	1.037
9:107000001-107500000	9	107000001	107500000	1.014	1.046	1.061
9:107500001-108000000	9	107500001	108000000	1.007	0.852	1.062
9:108000001-108500000	9	108000001	108500000	0.906	0.949	0.939
9:108500001-109000000	9	108500001	109000000	1.071	1.029	1.022
9:109000001-109500000	9	109000001	109500000	0.914	1.038	1.037
9:109500001-110000000	9	109500001	110000000	1.028	1.094	1.003
9:110000001-110500000	9	110000001	110500000	1.033	1.066	1.013
9:110500001-111000000	9	110500001	111000000	0.984	1.084	1.053
9:111000001-111500000	9	111000001	111500000	1.081	0.935	0.995
9:111500001-112000000	9	111500001	112000000	1.033	0.957	0.986
9:112000001-112500000	9	112000001	112500000	0.883	0.956	0.916
9:112500001-113000000	9	112500001	113000000	0.887	1.004	0.987
9:113000001-113500000	9	113000001	113500000	0.989	0.967	1.082
9:113500001-114000000	9	113500001	114000000	1.003	1.038	0.977
9:114000001-114500000	9	114000001	114500000	0.896	1.103	0.961
9:114500001-115000000	9	114500001	115000000	1.101	1.022	0.991
9:115000001-115500000	9	115000001	115500000	1.002	1.079	1.041
9:115500001-116000000	9	115500001	116000000	1.023	0.986	0.994
9:116000001-116500000	9	116000001	116500000	0.891	1.009	1.023
9:116500001-117000000	9	116500001	117000000	1.098	1.073	1.112
9:117500001-118000000	9	117500001	118000000	0.963	0.994	0.99
9:118000001-118500000	9	118000001	118500000	1.04	0.963	1.021
9:118500001-119000000	9	118500001	119000000	0.947	1.049	1.011
9:119000001-119500000	9	119000001	119500000	0.981	1.052	0.954
9:119500001-120000000	9	119500001	120000000	1.041	0.947	1.065
9:120000001-120500000	9	120000001	120500000	1.044	1.096	1.093
9:120500001-121000000	9	120500001	121000000	0.964	0.941	0.942
9:121000001-121500000	9	121000001	121500000	1.052	0.9	0.987
9:121500001-122000000	9	121500001	122000000	1.008	0.983	1.02
9:122000001-122500000	9	122000001	122500000	1.056	1.046	0.99
9:123000001-123500000	9	123000001	123500000	1.085	1.052	1.008
9:123500001-124000000	9	123500001	124000000	1.177	1.136	1.044
9:124000001-124500000	9	124000001	124500000	1.039	0.977	1.022
9:124500001-125000000	9	124500001	125000000	1.022	1.099	0.929
9:125000001-125500000	9	125000001	125500000	1.067	0.988	0.958
9:125500001-126000000	9	125500001	126000000	0.878	0.937	0.989
9:126000001-126500000	9	126000001	126500000	0.953	1.079	0.953
9:126500001-127000000	9	126500001	127000000	0.978	1.007	1.097
9:127000001-127500000	9	127000001	127500000	0.974	1.014	0.994
9:127500001-128000000	9	127500001	128000000	1.094	1.03	1.001
9:128000001-128500000	9	128000001	128500000	0.899	1.026	1.013
9:128500001-129000000	9	128500001	129000000	1.093	0.944	1.105
9:129000001-129500000	9	129000001	129500000	0.928	1.102	0.909
9:130000001-130500000	9	130000001	130500000	1.013	1.046	1.068
9:130500001-131000000	9	130500001	131000000	0.969	0.938	1.094
9:131000001-131500000	9	131000001	131500000	1.059	1.011	0.974
9:131500001-132000000	9	131500001	132000000	0.979	1.008	1.007
9:132000001-132500000	9	132000001	132500000	1.042	0.956	0.997
9:132500001-133000000	9	132500001	133000000	1.029	1.119	1.031
9:133000001-133500000	9	133000001	133500000	0.999	0.974	0.964
9:133500001-134000000	9	133500001	134000000	1.052	1.103	1.035
9:134500001-135000000	9	134500001	135000000	1.073	1.069	1.067
9:135000001-135500000	9	135000001	135500000	1.101	0.956	0.969
9:135500001-136000000	9	135500001	136000000	0.903	1.068	0.983
9:136000001-136500000	9	136000001	136500000	1.077	0.987	0.953
9:136500001-137000000	9	136500001	137000000	1.025	1.006	0.962
9:137000001-137500000	9	137000001	137500000	1.043	1.001	0.882
9:137500001-138000000	9	137500001	138000000	1.117	0.953	1.006
10:1-500000	10	1	500000	1.156	1.03	1.052
10:500001-1000000	10	500001	1000000	0.971	1	1.043
10:1000001-1500000	10	1000001	1500000	1.003	1.003	1.023
10:1500001-2000000	10	1500001	2000000	0.948	0.979	1.049
10:2500001-3000000	10	2500001	3000000	1.009	0.903	0.999
10:3000001-3500000	10	3000001	3500000	1.006	0.971	0.965
10:3500001-4000000	10	3500001	4000000	0.972	0.988	0.906
10:4000001-4500000	10	4000001	4500000	0.946	0.945	0.97
10:4500001-5000000	10	4500001	5000000	0.989	0.943	0.994
10:5000001-5500000	10	5000001	5500000	1.047	0.957	0.99
10:5500001-6000000	10	5500001	6000000	0.98	0.998	0.982
10:6000001-6500000	10	6000001	6500000	0.971	0.987	0.927
10:6500001-7000000	10	6500001	7000000	1.013	1.11	0.979
10:7000001-7500000	10	7000001	7500000	1.008	1.12	1.038
10:7500001-8000000	10	7500001	8000000	0.966	0.947	1.035
10:8000001-8500000	10	8000001	8500000	1.044	0.938	0.998
10:8500001-9000000	10	8500001	9000000	0.998	0.938	1.045
10:9000001-9500000	10	9000001	9500000	1.008	1.059	0.999
10:9500001-10000000	10	9500001	10000000	1.048	1.056	1.09
10:10000001-10500000	10	10000001	10500000	0.983	0.979	1.022
10:10500001-11000000	10	10500001	11000000	1.013	1.08	1.049
10:11000001-11500000	10	11000001	11500000	1.019	0.911	1.001
10:11500001-12000000	10	11500001	12000000	1.131	0.907	1.003
10:12000001-12500000	10	12000001	12500000	1.051	0.943	0.968
10:12500001-13000000	10	12500001	13000000	0.991	0.923	1.034
10:13000001-13500000	10	13000001	13500000	0.931	1.055	1.021
10:13500001-14000000	10	13500001	14000000	1.054	0.887	0.955
10:14000001-14500000	10	14000001	14500000	1.08	1.02	0.965
10:14500001-15000000	10	14500001	15000000	0.906	0.958	1.039
10:15000001-15500000	10	15000001	15500000	1.004	1.077	1.046
10:15500001-16000000	10	15500001	16000000	0.996	1.009	1.038
10:16000001-16500000	10	16000001	16500000	0.991	0.984	0.987
10:16500001-17000000	10	16500001	17000000	0.994	0.898	0.902
10:17000001-17500000	10	17000001	17500000	1.063	1.001	0.958
10:17500001-18000000	10	17500001	18000000	1	1.078	1.016
10:18000001-18500000	10	18000001	18500000	1.008	1.116	1.003
10:18500001-19000000	10	18500001	19000000	1.008	1.024	0.967
10:19000001-19500000	10	19000001	19500000	1.06	0.935	1.044
10:20000001-20500000	10	20000001	20500000	1.034	0.995	0.938
10:20500001-21000000	10	20500001	21000000	1.006	1.154	1.086
10:21000001-21500000	10	21000001	21500000	1.12	1.046	1.108
10:21500001-22000000	10	21500001	22000000	0.978	0.993	0.957
10:22000001-22500000	10	22000001	22500000	0.964	0.974	1.003
10:22500001-23000000	10	22500001	23000000	0.984	1.003	0.997
10:23000001-23500000	10	23000001	23500000	0.887	0.96	1
10:23500001-24000000	10	23500001	24000000	0.955	1.084	1.048
10:24000001-24500000	10	24000001	24500000	1.081	1.005	1.087
10:24500001-25000000	10	24500001	25000000	0.962	0.992	0.963
10:25000001-25500000	10	25000001	25500000	0.985	1.039	1.021
10:26000001-26500000	10	26000001	26500000	0.967	0.969	0.977
10:27000001-27500000	10	27000001	27500000	0.908	0.953	0.914
10:27500001-28000000	10	27500001	28000000	0.956	0.989	1.016
10:28000001-28500000	10	28000001	28500000	0.963	0.827	0.996
10:28500001-29000000	10	28500001	29000000	0.962	0.987	0.922
10:29000001-29500000	10	29000001	29500000	0.928	0.905	1.021
10:29500001-30000000	10	29500001	30000000	0.89	0.916	0.903
10:30000001-30500000	10	30000001	30500000	1.117	0.934	0.95
10:31000001-31500000	10	31000001	31500000	0.875	0.941	1.018
10:31500001-32000000	10	31500001	32000000	0.967	0.889	0.978
10:32000001-32500000	10	32000001	32500000	0.923	1.015	1.026
10:32500001-33000000	10	32500001	33000000	1.061	0.973	1.072
10:33000001-33500000	10	33000001	33500000	0.939	1.046	1.014
10:33500001-34000000	10	33500001	34000000	1.038	0.997	1.034
10:34000001-34500000	10	34000001	34500000	0.938	0.99	0.99
10:34500001-35000000	10	34500001	35000000	1.085	1.064	0.98
10:35000001-35500000	10	35000001	35500000	0.996	0.859	0.898
10:35500001-36000000	10	35500001	36000000	1.077	1.006	0.997
10:36500001-37000000	10	36500001	37000000	0.905	1.071	0.975
10:43000001-43500000	10	43000001	43500000	1.006	0.92	0.998
10:43500001-44000000	10	43500001	44000000	1.034	1.085	0.967
10:44000001-44500000	10	44000001	44500000	1.046	1.142	1.035
10:44500001-45000000	10	44500001	45000000	0.97	1.022	0.996
10:45000001-45500000	10	45000001	45500000	0.932	0.928	0.974
10:47000001-47500000	10	47000001	47500000	1.147	0.97	1.054
10:48500001-49000000	10	48500001	49000000	0.942	1.006	1.012
10:49000001-49500000	10	49000001	49500000	0.883	1.067	1.065
10:50500001-51000000	10	50500001	51000000	0.896	1.167	1.051
10:51000001-51500000	10	51000001	51500000	0.998	1.067	1
10:51500001-52000000	10	51500001	52000000	1.145	0.986	0.976
10:52000001-52500000	10	52000001	52500000	0.828	0.984	1.012
10:52500001-53000000	10	52500001	53000000	0.882	0.992	0.967
10:53000001-53500000	10	53000001	53500000	0.913	1.009	1.027
10:53500001-54000000	10	53500001	54000000	0.928	0.937	1.011
10:54000001-54500000	10	54000001	54500000	1.006	0.989	0.986
10:54500001-55000000	10	54500001	55000000	1.024	0.994	1.021
10:55000001-55500000	10	55000001	55500000	0.966	0.994	1.009
10:56000001-56500000	10	56000001	56500000	0.79	0.914	1.047
10:56500001-57000000	10	56500001	57000000	0.953	0.914	0.989
10:57000001-57500000	10	57000001	57500000	1.035	1.042	0.904
10:58000001-58500000	10	58000001	58500000	1.134	0.91	1.011
10:58500001-59000000	10	58500001	59000000	0.932	1.014	0.99
10:59500001-60000000	10	59500001	60000000	1.076	1.054	1.001
10:60000001-60500000	10	60000001	60500000	1.015	1.059	1.031
10:60500001-61000000	10	60500001	61000000	0.948	1.187	0.992
10:61000001-61500000	10	61000001	61500000	1.035	1.156	0.965
10:61500001-62000000	10	61500001	62000000	1.074	1.044	1.014
10:62000001-62500000	10	62000001	62500000	1.006	0.935	0.985
10:62500001-63000000	10	62500001	63000000	1.061	1.019	1.064
10:63000001-63500000	10	63000001	63500000	0.862	0.976	0.929
10:63500001-64000000	10	63500001	64000000	0.953	0.961	0.994
10:64000001-64500000	10	64000001	64500000	0.935	1.057	1.067
10:64500001-65000000	10	64500001	65000000	1.02	0.945	1.005
10:65000001-65500000	10	65000001	65500000	0.988	1.017	0.957
10:65500001-66000000	10	65500001	66000000	1.067	1.103	0.95
10:66000001-66500000	10	66000001	66500000	0.993	1.052	0.942
10:66500001-67000000	10	66500001	67000000	0.973	0.997	1.07
10:67000001-67500000	10	67000001	67500000	0.935	1.022	0.972
10:67500001-68000000	10	67500001	68000000	0.883	0.995	0.994
10:68000001-68500000	10	68000001	68500000	1.059	0.981	0.92
10:68500001-69000000	10	68500001	69000000	0.889	0.969	0.956
10:69000001-69500000	10	69000001	69500000	0.949	0.823	0.919
10:70000001-70500000	10	70000001	70500000	0.974	0.942	1.021
10:70500001-71000000	10	70500001	71000000	1.045	1.016	1.029
10:71000001-71500000	10	71000001	71500000	0.977	1.021	1.058
10:71500001-72000000	10	71500001	72000000	0.973	1.028	0.936
10:72000001-72500000	10	72000001	72500000	0.982	0.866	1.007
10:72500001-73000000	10	72500001	73000000	1.072	0.993	1.064
10:73000001-73500000	10	73000001	73500000	1.045	1.058	1.018
10:73500001-74000000	10	73500001	74000000	0.971	1.014	1.042
10:74000001-74500000	10	74000001	74500000	0.917	0.91	1.004
10:74500001-75000000	10	74500001	75000000	1.01	0.957	0.949
10:75000001-75500000	10	75000001	75500000	0.969	0.886	1.025
10:75500001-76000000	10	75500001	76000000	1.029	1	1.009
