feature	chromosome	start	end	SLX-16150.D711tp_D503tp.HC22VBBXY.s_3.r_1	SLX-16150.D712tp_D504tp.HC22VBBXY.s_3.r_1	SLX-17921.D709tp_D507tp.H5J55BBXY.s_8.r_1
1:64500001-65000000	1	64500001	65000000	1.025	1.001	0.982
1:65000001-65500000	1	65000001	65500000	1.067	0.989	0.986
1:65500001-66000000	1	65500001	66000000	1.006	1.012	1.05
1:66500001-67000000	1	66500001	67000000	0.993	1.063	1.12
1:67000001-67500000	1	67000001	67500000	1.016	1.046	1.037
1:68000001-68500000	1	68000001	68500000	1.089	0.995	0.914
1:68500001-69000000	1	68500001	69000000	1.048	1.156	1
1:69000001-69500000	1	69000001	69500000	0.939	1.106	0.919
1:69500001-70000000	1	69500001	70000000	1.011	1.09	1.03
1:70000001-70500000	1	70000001	70500000	1.015	1.03	1.051
1:70500001-71000000	1	70500001	71000000	0.862	1.075	1.004
1:71000001-71500000	1	71000001	71500000	1.046	0.935	1.138
1:71500001-72000000	1	71500001	72000000	1.121	1.04	1.001
1:72000001-72500000	1	72000001	72500000	0.889	0.965	0.981
1:72500001-73000000	1	72500001	73000000	1.029	1.045	1.1
1:73500001-74000000	1	73500001	74000000	0.842	1.024	0.898
1:74000001-74500000	1	74000001	74500000	0.82	1.112	0.984
1:74500001-75000000	1	74500001	75000000	0.972	1.053	1.016
1:75000001-75500000	1	75000001	75500000	1.043	1.039	0.986
1:75500001-76000000	1	75500001	76000000	0.894	0.926	0.939
1:76000001-76500000	1	76000001	76500000	1.002	1.034	0.988
1:77000001-77500000	1	77000001	77500000	0.893	1.048	1.068
1:77500001-78000000	1	77500001	78000000	0.948	1.076	0.861
1:78000001-78500000	1	78000001	78500000	1.03	1.059	1.173
1:78500001-79000000	1	78500001	79000000	1.016	1.011	1.024
1:79000001-79500000	1	79000001	79500000	0.97	0.921	0.871
1:79500001-80000000	1	79500001	80000000	0.885	0.999	0.948
1:80000001-80500000	1	80000001	80500000	0.946	1.05	0.989
1:80500001-81000000	1	80500001	81000000	0.947	0.987	1.073
1:81000001-81500000	1	81000001	81500000	0.821	0.966	1.004
1:81500001-82000000	1	81500001	82000000	0.915	0.885	1.038
1:82000001-82500000	1	82000001	82500000	0.955	1.069	0.932
1:82500001-83000000	1	82500001	83000000	0.92	1.12	0.925
1:83500001-84000000	1	83500001	84000000	1.066	0.995	0.982
1:84000001-84500000	1	84000001	84500000	1.059	1.082	1.047
1:84500001-85000000	1	84500001	85000000	0.919	0.962	0.999
1:85000001-85500000	1	85000001	85500000	0.994	1.036	1.044
1:85500001-86000000	1	85500001	86000000	1.021	1.144	1.06
1:86000001-86500000	1	86000001	86500000	0.981	1.013	0.99
1:86500001-87000000	1	86500001	87000000	0.94	0.961	1.021
1:87000001-87500000	1	87000001	87500000	0.929	1.02	1.049
1:87500001-88000000	1	87500001	88000000	0.955	0.893	1.017
1:88000001-88500000	1	88000001	88500000	1.007	0.945	1.1
1:88500001-89000000	1	88500001	89000000	0.871	1.039	0.94
1:89000001-89500000	1	89000001	89500000	0.936	0.936	1.008
1:89500001-90000000	1	89500001	90000000	1.012	0.978	1.08
1:90000001-90500000	1	90000001	90500000	0.993	1.088	1.04
1:90500001-91000000	1	90500001	91000000	0.868	1.078	1.029
1:91000001-91500000	1	91000001	91500000	1.045	1.027	1.072
1:91500001-92000000	1	91500001	92000000	0.958	1.036	0.961
1:92000001-92500000	1	92000001	92500000	0.876	1.065	1.038
1:92500001-93000000	1	92500001	93000000	0.872	1.003	1.021
1:93000001-93500000	1	93000001	93500000	0.907	0.985	0.965
1:94000001-94500000	1	94000001	94500000	1.113	0.993	1.049
1:94500001-95000000	1	94500001	95000000	1.047	0.917	0.965
1:95000001-95500000	1	95000001	95500000	0.86	1.011	0.974
1:95500001-96000000	1	95500001	96000000	0.906	1.008	1.017
1:96000001-96500000	1	96000001	96500000	1.019	1.02	1.01
1:96500001-97000000	1	96500001	97000000	0.935	1.056	1.054
1:97000001-97500000	1	97000001	97500000	1.134	1.045	0.987
1:97500001-98000000	1	97500001	98000000	1.185	1.086	0.968
1:98000001-98500000	1	98000001	98500000	0.934	1.057	1.067
1:98500001-99000000	1	98500001	99000000	1.019	1.047	1.04
1:99000001-99500000	1	99000001	99500000	0.867	0.951	1.093
1:99500001-100000000	1	99500001	100000000	0.878	0.983	1.05
1:100000001-100500000	1	100000001	100500000	1.084	0.882	0.993
1:100500001-101000000	1	100500001	101000000	0.934	0.982	0.962
1:101000001-101500000	1	101000001	101500000	0.89	0.909	0.909
1:101500001-102000000	1	101500001	102000000	1.133	1.052	0.962
1:102500001-103000000	1	102500001	103000000	0.898	0.935	0.944
1:103000001-103500000	1	103000001	103500000	1.022	1.117	0.99
1:104000001-104500000	1	104000001	104500000	0.98	0.939	0.939
1:104500001-105000000	1	104500001	105000000	0.934	0.977	0.919
1:105000001-105500000	1	105000001	105500000	0.973	0.964	0.986
1:105500001-106000000	1	105500001	106000000	1.01	0.979	0.879
1:106000001-106500000	1	106000001	106500000	0.946	0.968	1.052
1:107000001-107500000	1	107000001	107500000	1.004	1.037	1.019
1:107500001-108000000	1	107500001	108000000	1.014	0.955	0.939
1:108500001-109000000	1	108500001	109000000	0.873	0.976	1.003
1:109000001-109500000	1	109000001	109500000	0.909	0.882	0.914
1:109500001-110000000	1	109500001	110000000	0.93	0.969	1.083
1:110000001-110500000	1	110000001	110500000	0.932	1.102	0.944
1:110500001-111000000	1	110500001	111000000	1.027	1.038	1.055
1:111000001-111500000	1	111000001	111500000	0.976	0.956	1.006
1:111500001-112000000	1	111500001	112000000	1.015	0.942	1.095
1:112000001-112500000	1	112000001	112500000	1.077	1.133	0.994
1:112500001-113000000	1	112500001	113000000	1.119	1.047	1.043
1:113000001-113500000	1	113000001	113500000	1.055	1.119	1.072
1:113500001-114000000	1	113500001	114000000	0.895	1.039	0.987
1:114000001-114500000	1	114000001	114500000	1.143	1.053	1.031
1:114500001-115000000	1	114500001	115000000	0.831	0.982	1.069
1:115000001-115500000	1	115000001	115500000	0.952	1.055	1.007
1:115500001-116000000	1	115500001	116000000	0.89	1.056	0.931
1:116000001-116500000	1	116000001	116500000	0.89	1.035	1.044
1:116500001-117000000	1	116500001	117000000	1.09	1.248	1.102
1:117000001-117500000	1	117000001	117500000	1.028	1.059	1.005
1:117500001-118000000	1	117500001	118000000	0.937	1.083	0.965
1:118000001-118500000	1	118000001	118500000	1.04	1.014	1.03
1:118500001-119000000	1	118500001	119000000	1.156	1.083	1.041
1:119000001-119500000	1	119000001	119500000	1.009	1.037	1.097
1:119500001-120000000	1	119500001	120000000	1.119	0.966	1.118
1:147500001-148000000	1	147500001	148000000	0.987	0.932	1.05
1:150000001-150500000	1	150000001	150500000	0.854	0.996	0.98
1:150500001-151000000	1	150500001	151000000	0.996	0.963	0.912
1:151000001-151500000	1	151000001	151500000	0.973	0.994	0.994
1:151500001-152000000	1	151500001	152000000	0.848	0.948	0.978
1:152000001-152500000	1	152000001	152500000	0.994	1.08	1.049
1:152500001-153000000	1	152500001	153000000	1.122	1.086	1.006
1:153000001-153500000	1	153000001	153500000	1.074	1.002	0.985
1:153500001-154000000	1	153500001	154000000	0.974	0.984	0.924
1:154000001-154500000	1	154000001	154500000	1.016	0.778	0.943
1:154500001-155000000	1	154500001	155000000	0.94	1.072	0.99
1:155000001-155500000	1	155000001	155500000	0.943	0.993	0.896
1:156000001-156500000	1	156000001	156500000	1.05	1.128	1.012
1:156500001-157000000	1	156500001	157000000	1.052	0.946	1.004
1:157000001-157500000	1	157000001	157500000	0.987	1.03	0.979
1:157500001-158000000	1	157500001	158000000	1.059	1.031	0.983
1:159500001-160000000	1	159500001	160000000	1.049	1.002	1.101
1:160000001-160500000	1	160000001	160500000	1.004	1.023	1.024
1:160500001-161000000	1	160500001	161000000	0.972	0.986	1.041
1:161000001-161500000	1	161000001	161500000	1.143	1.087	1.01
1:161500001-162000000	1	161500001	162000000	0.918	0.945	0.95
1:162000001-162500000	1	162000001	162500000	1.207	1.167	1.028
1:162500001-163000000	1	162500001	163000000	0.977	1.059	1.051
