feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
8:42000001-42500000	8	42000001	42500000	1.103	1.207	1.053
8:42500001-43000000	8	42500001	43000000	1.156	1.253	1.029
8:47000001-47500000	8	47000001	47500000	1.177	1.254	1.176
8:47500001-48000000	8	47500001	48000000	1.228	1.136	1.075
8:48000001-48500000	8	48000001	48500000	1.311	1.415	1.306
8:48500001-49000000	8	48500001	49000000	1.255	1.104	1.153
8:49000001-49500000	8	49000001	49500000	1.244	1.142	1.042
8:49500001-50000000	8	49500001	50000000	1.213	1.256	1.164
8:50000001-50500000	8	50000001	50500000	1.163	1.288	1.183
8:51000001-51500000	8	51000001	51500000	1.114	1.226	1.19
8:51500001-52000000	8	51500001	52000000	1.145	1.213	1.088
8:52000001-52500000	8	52000001	52500000	1.112	1.219	1.068
8:52500001-53000000	8	52500001	53000000	1.112	1.19	1.206
8:53000001-53500000	8	53000001	53500000	1.198	1.173	1.228
8:53500001-54000000	8	53500001	54000000	1.122	1.142	1.163
8:54000001-54500000	8	54000001	54500000	1.185	1.132	1.144
8:54500001-55000000	8	54500001	55000000	1.276	1.389	1.209
8:55000001-55500000	8	55000001	55500000	1.255	1.242	1.114
8:55500001-56000000	8	55500001	56000000	1.153	1.231	1.192
8:56000001-56500000	8	56000001	56500000	1.321	1.279	1.075
8:57000001-57500000	8	57000001	57500000	1.222	1.149	1.102
8:57500001-58000000	8	57500001	58000000	1.285	1.181	1.179
8:58000001-58500000	8	58000001	58500000	1.23	0.961	1.158
8:58500001-59000000	8	58500001	59000000	1.162	1.134	1.188
8:59000001-59500000	8	59000001	59500000	1.22	1.1	1.225
8:59500001-60000000	8	59500001	60000000	1.202	1.098	1.276
8:60000001-60500000	8	60000001	60500000	1.243	1.25	1.137
8:60500001-61000000	8	60500001	61000000	1.07	1.296	1.078
8:61500001-62000000	8	61500001	62000000	1.188	1.218	1.234
8:62000001-62500000	8	62000001	62500000	1.203	1.164	1.098
8:62500001-63000000	8	62500001	63000000	1.168	1.236	1.039
8:63000001-63500000	8	63000001	63500000	1.257	1.285	1.232
8:63500001-64000000	8	63500001	64000000	1.281	1.214	1.11
8:64000001-64500000	8	64000001	64500000	1.293	1.292	1.261
8:64500001-65000000	8	64500001	65000000	1.227	1.205	1.286
8:65000001-65500000	8	65000001	65500000	1.28	1.32	1.2
8:65500001-66000000	8	65500001	66000000	1.177	1.22	1.207
8:66000001-66500000	8	66000001	66500000	1.096	1.215	1.094
8:66500001-67000000	8	66500001	67000000	0.993	1.116	1.189
8:67000001-67500000	8	67000001	67500000	1.098	1.1	1.204
8:68000001-68500000	8	68000001	68500000	1.319	1.064	1.113
8:68500001-69000000	8	68500001	69000000	1.163	1.292	1.153
8:69500001-70000000	8	69500001	70000000	1.107	1.178	1.135
8:70000001-70500000	8	70000001	70500000	1.044	1.029	0.972
8:70500001-71000000	8	70500001	71000000	1.176	1.16	1.152
8:71000001-71500000	8	71000001	71500000	1.198	1.172	1.219
8:71500001-72000000	8	71500001	72000000	1.236	1.188	1.173
8:72000001-72500000	8	72000001	72500000	1.165	1.174	1.162
8:73000001-73500000	8	73000001	73500000	1.166	1.309	1.215
8:73500001-74000000	8	73500001	74000000	1.12	1.196	1.006
8:74000001-74500000	8	74000001	74500000	1.194	1.206	1.152
8:75000001-75500000	8	75000001	75500000	1.278	1.05	1.208
8:75500001-76000000	8	75500001	76000000	1.184	1.214	1.224
8:77000001-77500000	8	77000001	77500000	1.223	1.174	1.21
8:77500001-78000000	8	77500001	78000000	1.184	1.309	1.151
8:78000001-78500000	8	78000001	78500000	1.269	1.317	1.227
8:78500001-79000000	8	78500001	79000000	1.178	1.167	1.074
8:79000001-79500000	8	79000001	79500000	1.183	1.252	1.186
8:79500001-80000000	8	79500001	80000000	1.177	1.226	1.183
8:80000001-80500000	8	80000001	80500000	1.192	1.086	1.214
8:80500001-81000000	8	80500001	81000000	1.207	1.242	1.073
8:81000001-81500000	8	81000001	81500000	1.2	1.317	1.209
8:81500001-82000000	8	81500001	82000000	1.183	1.228	1.213
8:82000001-82500000	8	82000001	82500000	1.184	1.231	1.278
8:82500001-83000000	8	82500001	83000000	1.253	1.172	1.086
8:83000001-83500000	8	83000001	83500000	1.265	1.274	1.097
8:83500001-84000000	8	83500001	84000000	1.216	1.186	1.162
8:84000001-84500000	8	84000001	84500000	1.19	1.212	1.214
8:84500001-85000000	8	84500001	85000000	1.214	1.249	1.17
8:85000001-85500000	8	85000001	85500000	1.128	1.065	1.165
8:86000001-86500000	8	86000001	86500000	1.025	1.086	1.025
8:86500001-87000000	8	86500001	87000000	1.157	1.16	1.132
8:87000001-87500000	8	87000001	87500000	1.183	1.139	1.161
8:87500001-88000000	8	87500001	88000000	1.212	1.21	1.076
8:88000001-88500000	8	88000001	88500000	1.148	1.102	1.201
8:88500001-89000000	8	88500001	89000000	1.287	1.26	1.276
8:89000001-89500000	8	89000001	89500000	1.218	0.991	1.162
8:89500001-90000000	8	89500001	90000000	1.163	1.201	1.085
8:90000001-90500000	8	90000001	90500000	1.282	1.33	1.224
8:90500001-91000000	8	90500001	91000000	1.135	1.264	1.129
8:91000001-91500000	8	91000001	91500000	1.203	1.272	1.211
8:91500001-92000000	8	91500001	92000000	1.183	1.342	1.216
8:92000001-92500000	8	92000001	92500000	1.139	1.4	1.149
8:92500001-93000000	8	92500001	93000000	1.18	1.191	1.135
8:93000001-93500000	8	93000001	93500000	1.158	1.259	1.19
8:93500001-94000000	8	93500001	94000000	1.184	1.29	1.166
8:94000001-94500000	8	94000001	94500000	1.151	1.255	1.178
8:94500001-95000000	8	94500001	95000000	1.141	1.072	1.074
8:95000001-95500000	8	95000001	95500000	1.194	1.081	1.093
8:95500001-96000000	8	95500001	96000000	1.282	1.369	1.286
8:96000001-96500000	8	96000001	96500000	1.124	1.151	1.159
8:96500001-97000000	8	96500001	97000000	1.074	1.129	1.05
8:97000001-97500000	8	97000001	97500000	1.207	1.313	1.327
8:98000001-98500000	8	98000001	98500000	1.224	1.132	1.184
8:98500001-99000000	8	98500001	99000000	1.204	1.276	1.289
8:99500001-100000000	8	99500001	100000000	1.246	1.301	1.311
8:100000001-100500000	8	100000001	100500000	1.077	1.172	1.059
8:100500001-101000000	8	100500001	101000000	1.192	1.215	1.114
8:101000001-101500000	8	101000001	101500000	1.124	1.133	1.114
8:101500001-102000000	8	101500001	102000000	1.208	1.226	1.103
8:102000001-102500000	8	102000001	102500000	1.16	1.115	1.098
8:103500001-104000000	8	103500001	104000000	1.158	1.148	1.216
8:104000001-104500000	8	104000001	104500000	1.167	1.192	1.166
8:104500001-105000000	8	104500001	105000000	1.146	1.262	1.293
8:105000001-105500000	8	105000001	105500000	1.318	1.122	1.216
8:105500001-106000000	8	105500001	106000000	1.295	1.201	1.331
8:106000001-106500000	8	106000001	106500000	1.19	1.288	1.228
8:106500001-107000000	8	106500001	107000000	1.229	1.13	1.212
8:107000001-107500000	8	107000001	107500000	1.264	1.366	1.108
8:107500001-108000000	8	107500001	108000000	1.137	1.286	1.176
8:108000001-108500000	8	108000001	108500000	1.135	1.28	1.199
8:109000001-109500000	8	109000001	109500000	1.235	1.188	1.13
8:109500001-110000000	8	109500001	110000000	1.303	1.172	1.27
8:110000001-110500000	8	110000001	110500000	1.245	1.12	1.106
8:111500001-112000000	8	111500001	112000000	1.153	1.273	1.062
8:112000001-112500000	8	112000001	112500000	1.24	1.096	1.264
8:112500001-113000000	8	112500001	113000000	1.301	1.184	1.168
8:113000001-113500000	8	113000001	113500000	1.247	1.12	1.133
8:113500001-114000000	8	113500001	114000000	1.153	1.247	1.092
8:114000001-114500000	8	114000001	114500000	1.176	1.243	1.105
8:114500001-115000000	8	114500001	115000000	1.24	1.157	1.031
8:115000001-115500000	8	115000001	115500000	1.203	1.201	1.11
8:115500001-116000000	8	115500001	116000000	1.274	1.195	1.234
8:116000001-116500000	8	116000001	116500000	1.235	1.181	1.057
8:116500001-117000000	8	116500001	117000000	1.244	1.068	1.051
8:117000001-117500000	8	117000001	117500000	1.21	1.324	1.116
8:117500001-118000000	8	117500001	118000000	1.205	1.148	1.144
8:118000001-118500000	8	118000001	118500000	1.136	1.259	1.101
8:118500001-119000000	8	118500001	119000000	1.299	1.189	1.228
8:119000001-119500000	8	119000001	119500000	1.19	1.097	1.183
8:119500001-120000000	8	119500001	120000000	1.163	1.22	1.126
8:120500001-121000000	8	120500001	121000000	1.17	1.322	1.175
8:121000001-121500000	8	121000001	121500000	1.353	1.228	1.27
8:121500001-122000000	8	121500001	122000000	1.278	1.124	1.248
8:122000001-122500000	8	122000001	122500000	1.183	1.429	1.105
8:122500001-123000000	8	122500001	123000000	1.109	1.285	1.196
8:123000001-123500000	8	123000001	123500000	1.162	0.991	1.034
8:123500001-124000000	8	123500001	124000000	1.25	1.022	1.218
8:124000001-124500000	8	124000001	124500000	1.252	1.249	1.121
8:124500001-125000000	8	124500001	125000000	1.065	1.144	1.072
8:125000001-125500000	8	125000001	125500000	1.156	1.159	1.201
8:125500001-126000000	8	125500001	126000000	1.172	1.207	1.189
8:126000001-126500000	8	126000001	126500000	1.205	1.03	1.275
8:126500001-127000000	8	126500001	127000000	1.229	1.165	1.06
8:128000001-128500000	8	128000001	128500000	1.149	1.176	1.101
8:128500001-129000000	8	128500001	129000000	1.37	1.283	1.275
8:129000001-129500000	8	129000001	129500000	1.243	1.283	1.224
8:129500001-130000000	8	129500001	130000000	1.261	1.062	1.094
8:130000001-130500000	8	130000001	130500000	1.015	1.102	1.097
8:130500001-131000000	8	130500001	131000000	1.201	1.242	1.226
8:131000001-131500000	8	131000001	131500000	1.312	1.203	1.224
8:131500001-132000000	8	131500001	132000000	1.218	1.331	1.183
8:132000001-132500000	8	132000001	132500000	1.18	1.073	1.103
8:132500001-133000000	8	132500001	133000000	1.15	1.143	1.066
8:133000001-133500000	8	133000001	133500000	1.079	1.101	1.178
8:134000001-134500000	8	134000001	134500000	1.104	1.281	1.15
8:134500001-135000000	8	134500001	135000000	1.109	1.015	1.061
8:135000001-135500000	8	135000001	135500000	1.156	1.271	1.174
8:135500001-136000000	8	135500001	136000000	1.166	1.085	1.013
8:136000001-136500000	8	136000001	136500000	1.195	1.438	1.209
8:136500001-137000000	8	136500001	137000000	1.146	1.099	1.158
8:137000001-137500000	8	137000001	137500000	1.265	1.127	1.023
8:137500001-138000000	8	137500001	138000000	1.239	1.145	1.247
8:138000001-138500000	8	138000001	138500000	1.327	1.135	1.167
8:138500001-139000000	8	138500001	139000000	1.134	1.15	1.132
8:139000001-139500000	8	139000001	139500000	1.245	1.18	1.227
8:139500001-140000000	8	139500001	140000000	1.137	1.224	1.198
8:140000001-140500000	8	140000001	140500000	1.274	1.187	1.18
8:140500001-141000000	8	140500001	141000000	1.073	1.034	1.056
8:141000001-141500000	8	141000001	141500000	1.073	1.189	1.122
8:141500001-142000000	8	141500001	142000000	1.188	1.162	1.1
8:142000001-142500000	8	142000001	142500000	1.225	1.277	1.082
8:142500001-143000000	8	142500001	143000000	1.25	1.1	1.203
8:143000001-143500000	8	143000001	143500000	1.215	1.193	1.142
8:143500001-144000000	8	143500001	144000000	1.096	1.125	1.049
8:144000001-144500000	8	144000001	144500000	1.207	1.079	1.097
8:144500001-145000000	8	144500001	145000000	1.155	1.171	1.363
9:500001-1000000	9	500001	1000000	0.981	0.996	1.012
9:1000001-1500000	9	1000001	1500000	1.06	1.045	0.998
9:1500001-2000000	9	1500001	2000000	1.025	1.093	1.275
9:2000001-2500000	9	2000001	2500000	0.899	0.898	0.965
9:2500001-3000000	9	2500001	3000000	0.985	1.055	1.018
9:3000001-3500000	9	3000001	3500000	0.987	1.048	1.001
9:3500001-4000000	9	3500001	4000000	1.039	0.926	0.99
9:4000001-4500000	9	4000001	4500000	1.023	0.942	0.993
9:4500001-5000000	9	4500001	5000000	1.008	0.786	0.964
9:5500001-6000000	9	5500001	6000000	0.922	0.926	0.995
9:6000001-6500000	9	6000001	6500000	1.026	0.9	1.095
9:6500001-7000000	9	6500001	7000000	0.976	0.956	1.007
9:7000001-7500000	9	7000001	7500000	1.026	0.961	0.993
9:7500001-8000000	9	7500001	8000000	1.045	1.283	0.856
9:8000001-8500000	9	8000001	8500000	0.966	0.892	1.067
9:8500001-9000000	9	8500001	9000000	0.994	0.975	0.894
9:9000001-9500000	9	9000001	9500000	1.108	1.017	1.112
9:10000001-10500000	9	10000001	10500000	1.042	0.984	1.047
9:10500001-11000000	9	10500001	11000000	1.043	1.002	1.009
9:11000001-11500000	9	11000001	11500000	1.002	0.992	0.822
9:11500001-12000000	9	11500001	12000000	1.019	1.022	1.069
9:12000001-12500000	9	12000001	12500000	1.018	1.023	1.051
9:12500001-13000000	9	12500001	13000000	1.026	1.031	0.915
9:13000001-13500000	9	13000001	13500000	1.005	0.935	0.985
9:13500001-14000000	9	13500001	14000000	0.923	0.968	1.135
9:14000001-14500000	9	14000001	14500000	0.956	0.905	0.94
9:14500001-15000000	9	14500001	15000000	0.963	1.038	0.905
9:15000001-15500000	9	15000001	15500000	0.941	0.755	1.012
9:16000001-16500000	9	16000001	16500000	1.036	1.05	1.037
9:16500001-17000000	9	16500001	17000000	0.958	0.972	0.974
9:17000001-17500000	9	17000001	17500000	0.978	1.201	1.099
9:17500001-18000000	9	17500001	18000000	1.056	0.945	1.004
9:18500001-19000000	9	18500001	19000000	1.074	0.994	0.927
9:19000001-19500000	9	19000001	19500000	0.945	0.815	1.021
9:19500001-20000000	9	19500001	20000000	1.034	1.063	1.039
9:20000001-20500000	9	20000001	20500000	1.034	1.007	1.01
9:20500001-21000000	9	20500001	21000000	0.98	1.037	1.117
9:21000001-21500000	9	21000001	21500000	1.014	1.03	0.987
9:21500001-22000000	9	21500001	22000000	0.987	0.981	0.935
9:22000001-22500000	9	22000001	22500000	1	1.123	0.982
9:22500001-23000000	9	22500001	23000000	1.063	1.293	1.037
9:23000001-23500000	9	23000001	23500000	0.906	1.062	1.019
9:23500001-24000000	9	23500001	24000000	1.187	1.226	1.181
9:24000001-24500000	9	24000001	24500000	1.037	0.993	1.091
9:24500001-25000000	9	24500001	25000000	1.036	1.029	1.035
9:25000001-25500000	9	25000001	25500000	1.063	0.982	0.954
9:25500001-26000000	9	25500001	26000000	0.946	1.011	0.921
9:26000001-26500000	9	26000001	26500000	1.075	1.081	1.062
9:26500001-27000000	9	26500001	27000000	0.976	0.818	1.052
9:27000001-27500000	9	27000001	27500000	1.01	1.065	1.098
9:27500001-28000000	9	27500001	28000000	1	1.035	1.044
9:28000001-28500000	9	28000001	28500000	1.002	1.024	1.035
9:28500001-29000000	9	28500001	29000000	1.025	0.918	1.087
9:29000001-29500000	9	29000001	29500000	1.073	0.939	0.994
9:29500001-30000000	9	29500001	30000000	1.003	1.036	0.922
9:30000001-30500000	9	30000001	30500000	1.027	0.947	0.921
9:30500001-31000000	9	30500001	31000000	0.959	0.964	1.059
9:31500001-32000000	9	31500001	32000000	1.039	1.199	1.026
9:32000001-32500000	9	32000001	32500000	1.023	1.034	1.06
9:32500001-33000000	9	32500001	33000000	0.953	0.895	1.028
9:33000001-33500000	9	33000001	33500000	0.985	1.021	0.957
9:34000001-34500000	9	34000001	34500000	1.01	0.897	1.151
9:35000001-35500000	9	35000001	35500000	0.927	1.037	0.901
9:35500001-36000000	9	35500001	36000000	0.874	0.946	0.867
9:36500001-37000000	9	36500001	37000000	1.087	1.107	1.167
9:37000001-37500000	9	37000001	37500000	0.878	0.867	1.106
9:37500001-38000000	9	37500001	38000000	0.945	0.955	0.955
9:38000001-38500000	9	38000001	38500000	0.892	0.953	0.969
9:68500001-69000000	9	68500001	69000000	0.992	1.013	0.984
9:69000001-69500000	9	69000001	69500000	0.928	0.98	1.11
9:69500001-70000000	9	69500001	70000000	0.961	0.987	0.929
9:70000001-70500000	9	70000001	70500000	1.022	0.986	1.041
9:70500001-71000000	9	70500001	71000000	0.96	0.985	1.046
9:71000001-71500000	9	71000001	71500000	0.98	1.021	0.973
9:71500001-72000000	9	71500001	72000000	0.958	0.965	0.984
9:72000001-72500000	9	72000001	72500000	1.12	1.028	0.988
9:73000001-73500000	9	73000001	73500000	0.951	0.954	0.905
9:73500001-74000000	9	73500001	74000000	0.982	0.959	1.044
9:74000001-74500000	9	74000001	74500000	1.051	1.078	1.073
9:74500001-75000000	9	74500001	75000000	0.952	0.934	0.96
9:75000001-75500000	9	75000001	75500000	0.926	0.993	0.946
9:75500001-76000000	9	75500001	76000000	0.975	1.029	0.942
9:76000001-76500000	9	76000001	76500000	0.944	0.997	0.999
9:76500001-77000000	9	76500001	77000000	0.976	1.047	0.993
9:77000001-77500000	9	77000001	77500000	0.992	0.881	0.925
9:77500001-78000000	9	77500001	78000000	1.032	0.897	1.111
9:78000001-78500000	9	78000001	78500000	1.084	0.96	1.095
9:79000001-79500000	9	79000001	79500000	1.037	0.967	1.08
9:80000001-80500000	9	80000001	80500000	1.008	1.013	0.995
9:81000001-81500000	9	81000001	81500000	1.038	1.06	1.029
9:82500001-83000000	9	82500001	83000000	0.952	0.907	0.994
9:83000001-83500000	9	83000001	83500000	1.096	1.07	0.945
9:83500001-84000000	9	83500001	84000000	0.925	0.955	0.934
9:84000001-84500000	9	84000001	84500000	0.976	1.037	0.999
9:84500001-85000000	9	84500001	85000000	0.854	0.944	1.025
9:85000001-85500000	9	85000001	85500000	1.085	0.96	1.084
9:85500001-86000000	9	85500001	86000000	0.999	1.078	0.96
9:86000001-86500000	9	86000001	86500000	0.913	1.02	1.072
9:86500001-87000000	9	86500001	87000000	1.035	0.876	1.09
9:87000001-87500000	9	87000001	87500000	1.049	1.047	0.996
9:87500001-88000000	9	87500001	88000000	1.096	1.031	1.107
9:88000001-88500000	9	88000001	88500000	0.997	1.084	1
9:88500001-89000000	9	88500001	89000000	0.986	1.018	1.025
9:89000001-89500000	9	89000001	89500000	0.989	0.998	1.01
9:89500001-90000000	9	89500001	90000000	0.881	0.88	0.961
9:90000001-90500000	9	90000001	90500000	1.106	1.069	1.121
9:90500001-91000000	9	90500001	91000000	1.072	0.903	0.961
9:91000001-91500000	9	91000001	91500000	0.971	1.058	0.964
9:91500001-92000000	9	91500001	92000000	1.033	0.933	1.152
9:93000001-93500000	9	93000001	93500000	0.984	0.785	0.881
9:93500001-94000000	9	93500001	94000000	0.99	0.818	0.945
9:94500001-95000000	9	94500001	95000000	1.041	1.131	0.978
9:95000001-95500000	9	95000001	95500000	1.005	0.918	0.999
9:96000001-96500000	9	96000001	96500000	1.064	0.941	0.88
9:97500001-98000000	9	97500001	98000000	0.966	1.079	0.995
9:98000001-98500000	9	98000001	98500000	1.037	1.074	1.071
9:98500001-99000000	9	98500001	99000000	1.017	1.033	0.981
9:99000001-99500000	9	99000001	99500000	0.975	0.914	0.966
9:99500001-100000000	9	99500001	100000000	1.044	1.007	0.864
9:100000001-100500000	9	100000001	100500000	0.986	1.091	1.056
9:100500001-101000000	9	100500001	101000000	1.052	1.099	0.967
9:101000001-101500000	9	101000001	101500000	0.984	0.949	1.051
9:101500001-102000000	9	101500001	102000000	1.061	0.921	1.012
9:102000001-102500000	9	102000001	102500000	0.995	1.039	1.013
9:102500001-103000000	9	102500001	103000000	0.939	1.047	0.999
9:103000001-103500000	9	103000001	103500000	1.042	0.76	0.963
9:103500001-104000000	9	103500001	104000000	1.051	1.084	1.047
9:104000001-104500000	9	104000001	104500000	1.032	0.947	0.966
9:104500001-105000000	9	104500001	105000000	1.03	0.869	1.051
9:105000001-105500000	9	105000001	105500000	0.967	1.048	1.035
9:105500001-106000000	9	105500001	106000000	1.001	0.982	1.109
9:106000001-106500000	9	106000001	106500000	1.043	1.117	1.149
9:106500001-107000000	9	106500001	107000000	1.08	0.977	1.039
9:107000001-107500000	9	107000001	107500000	1.021	0.927	1.085
9:107500001-108000000	9	107500001	108000000	0.948	1.045	0.946
9:108000001-108500000	9	108000001	108500000	0.946	0.912	0.938
9:108500001-109000000	9	108500001	109000000	1.037	0.98	1.005
9:109000001-109500000	9	109000001	109500000	1.02	1.008	1.018
9:109500001-110000000	9	109500001	110000000	0.917	0.98	1.008
9:110000001-110500000	9	110000001	110500000	1.106	0.947	1.034
9:110500001-111000000	9	110500001	111000000	1.027	1.001	0.922
9:111000001-111500000	9	111000001	111500000	1.006	0.919	1.087
9:111500001-112000000	9	111500001	112000000	0.926	0.902	1.012
9:112000001-112500000	9	112000001	112500000	0.782	0.84	0.698
9:112500001-113000000	9	112500001	113000000	0.999	0.891	0.963
9:113000001-113500000	9	113000001	113500000	1.012	0.888	0.989
9:113500001-114000000	9	113500001	114000000	0.949	0.922	0.922
9:114000001-114500000	9	114000001	114500000	0.977	0.947	0.866
9:114500001-115000000	9	114500001	115000000	0.971	0.888	0.991
9:115000001-115500000	9	115000001	115500000	1.048	0.901	0.968
9:115500001-116000000	9	115500001	116000000	1.043	0.955	1.081
9:116000001-116500000	9	116000001	116500000	0.965	0.937	0.935
9:116500001-117000000	9	116500001	117000000	1.034	1.104	1.064
9:117500001-118000000	9	117500001	118000000	0.99	0.906	0.916
9:118000001-118500000	9	118000001	118500000	0.934	0.964	1.026
9:118500001-119000000	9	118500001	119000000	0.944	0.991	0.958
9:119000001-119500000	9	119000001	119500000	1.074	0.903	0.956
9:119500001-120000000	9	119500001	120000000	1.029	0.938	0.87
9:120000001-120500000	9	120000001	120500000	1.094	0.927	0.979
9:120500001-121000000	9	120500001	121000000	0.971	0.79	0.86
9:121000001-121500000	9	121000001	121500000	0.937	0.94	0.897
9:121500001-122000000	9	121500001	122000000	1.014	0.928	1.029
9:122000001-122500000	9	122000001	122500000	0.907	0.848	0.922
9:123000001-123500000	9	123000001	123500000	1.037	0.928	1.009
9:123500001-124000000	9	123500001	124000000	0.986	1.003	1.093
9:124000001-124500000	9	124000001	124500000	0.964	1.068	0.972
9:124500001-125000000	9	124500001	125000000	0.96	0.86	0.956
9:125000001-125500000	9	125000001	125500000	0.926	0.98	1.125
9:125500001-126000000	9	125500001	126000000	1.017	0.839	0.961
9:126000001-126500000	9	126000001	126500000	1.007	0.964	1.026
9:126500001-127000000	9	126500001	127000000	1.012	0.996	0.938
9:127000001-127500000	9	127000001	127500000	0.932	0.917	1.031
9:127500001-128000000	9	127500001	128000000	0.978	1.048	1.011
9:128000001-128500000	9	128000001	128500000	1.005	0.862	0.967
9:128500001-129000000	9	128500001	129000000	0.927	0.964	0.915
9:129000001-129500000	9	129000001	129500000	1.01	0.698	0.965
9:130000001-130500000	9	130000001	130500000	1.008	0.962	1.015
9:130500001-131000000	9	130500001	131000000	0.984	1.033	1
9:131000001-131500000	9	131000001	131500000	1.011	1.032	1.011
9:131500001-132000000	9	131500001	132000000	1.013	0.974	0.988
9:132000001-132500000	9	132000001	132500000	1.01	0.938	1.047
9:132500001-133000000	9	132500001	133000000	1.019	1.001	0.955
9:133000001-133500000	9	133000001	133500000	0.992	0.852	1.139
9:133500001-134000000	9	133500001	134000000	0.998	1.035	1.051
9:134500001-135000000	9	134500001	135000000	1.078	1.119	1.065
9:135000001-135500000	9	135000001	135500000	1.017	0.906	1.127
9:135500001-136000000	9	135500001	136000000	1.048	1.062	0.997
9:136000001-136500000	9	136000001	136500000	0.986	0.913	0.995
9:136500001-137000000	9	136500001	137000000	1.119	0.994	1.08
9:137000001-137500000	9	137000001	137500000	0.965	1.081	0.947
9:137500001-138000000	9	137500001	138000000	1.027	0.967	1.061
10:1-500000	10	1	500000	1.036	1.02	1.097
10:500001-1000000	10	500001	1000000	1.006	1.132	0.978
10:1000001-1500000	10	1000001	1500000	1.061	0.962	0.941
10:1500001-2000000	10	1500001	2000000	1.091	0.957	1.048
10:2500001-3000000	10	2500001	3000000	0.987	0.834	0.991
10:3000001-3500000	10	3000001	3500000	0.928	1.029	0.915
10:3500001-4000000	10	3500001	4000000	0.945	0.769	0.892
10:4000001-4500000	10	4000001	4500000	0.959	0.908	1.052
10:4500001-5000000	10	4500001	5000000	0.977	0.957	0.977
10:5000001-5500000	10	5000001	5500000	1.102	1.046	0.969
10:5500001-6000000	10	5500001	6000000	0.862	0.804	0.924
10:6000001-6500000	10	6000001	6500000	0.884	0.982	0.855
10:6500001-7000000	10	6500001	7000000	1.114	1.002	1.145
10:7000001-7500000	10	7000001	7500000	0.942	1.081	0.923
10:7500001-8000000	10	7500001	8000000	0.916	0.923	0.987
10:8000001-8500000	10	8000001	8500000	0.968	0.866	1.061
10:8500001-9000000	10	8500001	9000000	1.05	0.979	0.995
10:9000001-9500000	10	9000001	9500000	1.079	1.115	1.118
10:9500001-10000000	10	9500001	10000000	1.114	0.864	1.139
10:10000001-10500000	10	10000001	10500000	1.048	1.029	1.088
10:10500001-11000000	10	10500001	11000000	1.021	0.941	1.004
10:11000001-11500000	10	11000001	11500000	0.913	0.864	0.947
10:11500001-12000000	10	11500001	12000000	0.959	0.824	0.892
10:12000001-12500000	10	12000001	12500000	1.116	1.058	0.957
10:12500001-13000000	10	12500001	13000000	1.042	1.046	0.948
10:13000001-13500000	10	13000001	13500000	0.958	0.952	1.098
10:13500001-14000000	10	13500001	14000000	1.025	1.016	0.938
10:14000001-14500000	10	14000001	14500000	1.009	0.899	0.979
10:14500001-15000000	10	14500001	15000000	0.892	0.921	0.905
10:15000001-15500000	10	15000001	15500000	1.061	1.042	1.136
10:15500001-16000000	10	15500001	16000000	0.935	0.849	0.987
10:16000001-16500000	10	16000001	16500000	0.98	1.059	1.025
10:16500001-17000000	10	16500001	17000000	1.007	1.027	0.935
10:17000001-17500000	10	17000001	17500000	1.067	0.876	0.927
10:17500001-18000000	10	17500001	18000000	0.977	0.925	1.004
10:18000001-18500000	10	18000001	18500000	1.054	0.978	0.977
10:18500001-19000000	10	18500001	19000000	0.934	0.904	1.024
10:19000001-19500000	10	19000001	19500000	0.981	0.941	1.11
10:20000001-20500000	10	20000001	20500000	1.055	1.098	1.088
10:20500001-21000000	10	20500001	21000000	1.058	1.085	1.176
10:21000001-21500000	10	21000001	21500000	1.021	1.064	0.948
10:21500001-22000000	10	21500001	22000000	0.973	1.078	0.999
10:22000001-22500000	10	22000001	22500000	1.076	0.948	0.886
10:22500001-23000000	10	22500001	23000000	0.987	0.953	1.039
10:23000001-23500000	10	23000001	23500000	0.982	0.997	0.99
10:23500001-24000000	10	23500001	24000000	1.147	0.97	1.094
10:24000001-24500000	10	24000001	24500000	1.056	0.959	1.009
10:24500001-25000000	10	24500001	25000000	0.922	1.111	0.86
10:25000001-25500000	10	25000001	25500000	0.997	0.949	1.009
10:26000001-26500000	10	26000001	26500000	0.995	0.894	1.152
10:27000001-27500000	10	27000001	27500000	0.945	0.905	0.849
10:27500001-28000000	10	27500001	28000000	0.904	0.989	0.981
10:28000001-28500000	10	28000001	28500000	0.888	0.982	1.076
10:28500001-29000000	10	28500001	29000000	1.005	0.94	0.868
10:29000001-29500000	10	29000001	29500000	0.907	0.993	0.996
10:29500001-30000000	10	29500001	30000000	0.931	0.935	0.932
10:30000001-30500000	10	30000001	30500000	0.925	0.907	1.025
10:31000001-31500000	10	31000001	31500000	1.089	1.084	1.076
10:31500001-32000000	10	31500001	32000000	1.08	1.027	0.946
10:32000001-32500000	10	32000001	32500000	0.911	1.023	1.003
10:32500001-33000000	10	32500001	33000000	1.061	1.111	1.005
10:33000001-33500000	10	33000001	33500000	0.891	0.955	0.951
10:33500001-34000000	10	33500001	34000000	1.029	1.082	0.913
10:34000001-34500000	10	34000001	34500000	0.997	0.969	0.962
10:34500001-35000000	10	34500001	35000000	0.963	0.973	0.977
10:35000001-35500000	10	35000001	35500000	0.948	1.018	0.914
