feature	chromosome	start	end	SLX-16150.D712tp_D506tp.HC22VBBXY.s_3.r_1	SLX-17921.D707tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17922.D708tp_D503tp.HC22GBBXY.s_6.r_1
1:117000001-117500000	1	117000001	117500000	1.184	1.198	1.138
1:117500001-118000000	1	117500001	118000000	1.166	1.112	1.137
1:118000001-118500000	1	118000001	118500000	1.172	1.145	1.205
1:118500001-119000000	1	118500001	119000000	1.293	1.204	1.187
1:119000001-119500000	1	119000001	119500000	1.153	1.186	1.246
1:119500001-120000000	1	119500001	120000000	1.147	1.11	1.025
1:147500001-148000000	1	147500001	148000000	1.108	1.055	1.11
1:150000001-150500000	1	150000001	150500000	1.112	0.992	1.024
1:150500001-151000000	1	150500001	151000000	1.11	1.062	1.106
1:151000001-151500000	1	151000001	151500000	1.054	0.922	1.027
1:151500001-152000000	1	151500001	152000000	1.1	1.071	1.112
1:152000001-152500000	1	152000001	152500000	1.164	1.237	1.257
1:152500001-153000000	1	152500001	153000000	1.202	1.122	1.116
1:153000001-153500000	1	153000001	153500000	1.145	1.233	1.124
1:153500001-154000000	1	153500001	154000000	1.055	1.097	0.969
1:154000001-154500000	1	154000001	154500000	1.092	1.105	1.095
1:154500001-155000000	1	154500001	155000000	1.138	1.035	1.187
1:155000001-155500000	1	155000001	155500000	1.108	1.1	1.065
1:156000001-156500000	1	156000001	156500000	1.278	1.088	1.028
1:156500001-157000000	1	156500001	157000000	1.103	1.076	1.074
1:157000001-157500000	1	157000001	157500000	1.13	1.197	1.131
1:157500001-158000000	1	157500001	158000000	1.106	1.178	1.125
1:159500001-160000000	1	159500001	160000000	1.142	1.161	1.154
1:160000001-160500000	1	160000001	160500000	1.139	1.075	1.047
1:160500001-161000000	1	160500001	161000000	1.16	1.18	1.167
1:161000001-161500000	1	161000001	161500000	1.205	1.409	1.254
1:161500001-162000000	1	161500001	162000000	1.043	1.168	1.098
1:162000001-162500000	1	162000001	162500000	1.148	1.011	1.1
1:162500001-163000000	1	162500001	163000000	1.149	1.035	1.089
1:163000001-163500000	1	163000001	163500000	1.194	1.18	1.138
1:163500001-164000000	1	163500001	164000000	1.155	1.073	1.078
1:164000001-164500000	1	164000001	164500000	1.102	1.218	1.247
1:164500001-165000000	1	164500001	165000000	1.134	1.158	1.076
1:165000001-165500000	1	165000001	165500000	1.161	1.107	1.072
1:165500001-166000000	1	165500001	166000000	1.196	1.102	1.086
1:166000001-166500000	1	166000001	166500000	1.23	1.333	1.279
1:166500001-167000000	1	166500001	167000000	1.167	1.107	1.114
1:167000001-167500000	1	167000001	167500000	1.111	1.147	1.065
1:167500001-168000000	1	167500001	168000000	1.165	1.049	1.026
1:168000001-168500000	1	168000001	168500000	1.124	1.055	1.199
1:168500001-169000000	1	168500001	169000000	1.175	1.201	1.169
1:169500001-170000000	1	169500001	170000000	1.104	1.14	1.013
1:170500001-171000000	1	170500001	171000000	1.231	1.228	1.193
1:171000001-171500000	1	171000001	171500000	1.105	0.972	1.009
1:171500001-172000000	1	171500001	172000000	1.202	1.01	1.079
1:172000001-172500000	1	172000001	172500000	1.118	1.175	1.159
1:173000001-173500000	1	173000001	173500000	1.17	1.058	1.083
1:173500001-174000000	1	173500001	174000000	1.093	1.07	1.125
1:174000001-174500000	1	174000001	174500000	1.208	1.129	1.198
1:174500001-175000000	1	174500001	175000000	1.138	1.238	1.023
1:175000001-175500000	1	175000001	175500000	1.162	1.05	1.128
1:175500001-176000000	1	175500001	176000000	1.074	1.18	1.18
1:176000001-176500000	1	176000001	176500000	1.194	1.083	1.101
1:176500001-177000000	1	176500001	177000000	1.119	1.135	1.121
1:177000001-177500000	1	177000001	177500000	1.106	1.198	1.017
1:177500001-178000000	1	177500001	178000000	1.229	1.334	1.252
1:178000001-178500000	1	178000001	178500000	1.136	0.914	1.055
1:178500001-179000000	1	178500001	179000000	1.139	1.082	1.142
1:179000001-179500000	1	179000001	179500000	1.115	1.16	1.125
