feature	chromosome	start	end	SLX-16150.D709tp_D502tp.HC22VBBXY.s_3.r_1	SLX-17921.D710tp_D503tp.H5J55BBXY.s_8.r_1
1:35000001-35500000	1	35000001	35500000	0.971	0.898
1:35500001-36000000	1	35500001	36000000	0.933	1.048
1:36000001-36500000	1	36000001	36500000	1.009	0.887
1:36500001-37000000	1	36500001	37000000	1.04	1.026
1:37000001-37500000	1	37000001	37500000	1.048	1.058
1:37500001-38000000	1	37500001	38000000	1.044	0.956
1:38000001-38500000	1	38000001	38500000	1.043	1.09
1:39000001-39500000	1	39000001	39500000	0.965	0.927
1:39500001-40000000	1	39500001	40000000	0.943	1.01
1:40000001-40500000	1	40000001	40500000	0.885	0.916
1:40500001-41000000	1	40500001	41000000	1.019	1.043
1:41000001-41500000	1	41000001	41500000	1.046	1
1:41500001-42000000	1	41500001	42000000	1.114	0.98
1:42000001-42500000	1	42000001	42500000	1.019	0.974
1:42500001-43000000	1	42500001	43000000	0.851	1.007
1:43000001-43500000	1	43000001	43500000	1.027	1.105
1:43500001-44000000	1	43500001	44000000	0.909	1.021
1:44000001-44500000	1	44000001	44500000	1.037	0.999
1:44500001-45000000	1	44500001	45000000	1.018	0.997
1:45000001-45500000	1	45000001	45500000	0.978	0.981
1:45500001-46000000	1	45500001	46000000	0.953	0.829
1:46000001-46500000	1	46000001	46500000	0.988	1.081
1:46500001-47000000	1	46500001	47000000	1.218	1.073
1:47000001-47500000	1	47000001	47500000	1.038	1.001
1:47500001-48000000	1	47500001	48000000	1.164	1.104
1:48000001-48500000	1	48000001	48500000	1.058	1.065
1:48500001-49000000	1	48500001	49000000	1.098	1.058
1:49000001-49500000	1	49000001	49500000	1.024	1.129
1:49500001-50000000	1	49500001	50000000	1.041	1.068
1:50500001-51000000	1	50500001	51000000	0.986	1.006
1:51000001-51500000	1	51000001	51500000	0.941	0.979
1:51500001-52000000	1	51500001	52000000	0.953	1
1:52000001-52500000	1	52000001	52500000	1.045	0.97
1:53000001-53500000	1	53000001	53500000	0.963	0.954
1:53500001-54000000	1	53500001	54000000	0.811	0.982
1:54000001-54500000	1	54000001	54500000	1.163	0.973
1:54500001-55000000	1	54500001	55000000	1.138	1.151
1:55500001-56000000	1	55500001	56000000	0.948	1.065
1:56000001-56500000	1	56000001	56500000	1.066	1.023
1:56500001-57000000	1	56500001	57000000	0.866	0.921
1:57000001-57500000	1	57000001	57500000	1.067	1.076
1:57500001-58000000	1	57500001	58000000	1.003	1.094
1:58000001-58500000	1	58000001	58500000	1.088	1.167
1:58500001-59000000	1	58500001	59000000	0.995	1.06
1:59000001-59500000	1	59000001	59500000	1.099	0.968
1:59500001-60000000	1	59500001	60000000	1.134	1.013
1:60000001-60500000	1	60000001	60500000	1.089	1.079
1:60500001-61000000	1	60500001	61000000	1.124	0.962
1:61000001-61500000	1	61000001	61500000	0.966	0.943
1:61500001-62000000	1	61500001	62000000	1.042	0.923
1:62000001-62500000	1	62000001	62500000	1.034	1.012
1:62500001-63000000	1	62500001	63000000	1.023	1.042
1:63000001-63500000	1	63000001	63500000	1.002	1.008
1:63500001-64000000	1	63500001	64000000	1.051	0.917
1:64000001-64500000	1	64000001	64500000	0.951	1.076
1:64500001-65000000	1	64500001	65000000	0.88	0.92
1:65000001-65500000	1	65000001	65500000	0.966	0.952
1:65500001-66000000	1	65500001	66000000	1.035	1.135
1:66500001-67000000	1	66500001	67000000	0.946	0.972
1:67000001-67500000	1	67000001	67500000	1.081	0.911
1:68000001-68500000	1	68000001	68500000	1.043	0.989
1:68500001-69000000	1	68500001	69000000	1.009	1.015
1:69000001-69500000	1	69000001	69500000	1.124	1.035
1:69500001-70000000	1	69500001	70000000	1.083	1.054
1:70000001-70500000	1	70000001	70500000	0.989	0.941
1:70500001-71000000	1	70500001	71000000	1.015	1.069
1:71000001-71500000	1	71000001	71500000	1.021	0.972
1:71500001-72000000	1	71500001	72000000	1.086	1.118
1:72000001-72500000	1	72000001	72500000	0.997	0.929
1:72500001-73000000	1	72500001	73000000	1.041	1.051
1:73500001-74000000	1	73500001	74000000	0.96	1.042
1:74000001-74500000	1	74000001	74500000	1.074	0.973
1:74500001-75000000	1	74500001	75000000	1.073	0.955
1:75000001-75500000	1	75000001	75500000	1.06	1.05
1:75500001-76000000	1	75500001	76000000	1.014	1.028
1:76000001-76500000	1	76000001	76500000	1.093	0.962
1:77000001-77500000	1	77000001	77500000	1.013	0.942
1:77500001-78000000	1	77500001	78000000	1.037	0.915
