feature	chromosome	start	end	SLX-17921.D706tp_D503tp.H5J55BBXY.s_8.r_1	SLX-16150.D706tp_D502tp.HC22VBBXY.s_3.r_1
1:155000001-155500000	1	155000001	155500000	0.851	0.876
1:156000001-156500000	1	156000001	156500000	0.91	1.032
1:156500001-157000000	1	156500001	157000000	0.991	1.062
1:157000001-157500000	1	157000001	157500000	0.995	0.997
1:157500001-158000000	1	157500001	158000000	1.108	1.096
1:159500001-160000000	1	159500001	160000000	1.113	1.015
1:160000001-160500000	1	160000001	160500000	0.961	1.017
1:160500001-161000000	1	160500001	161000000	1.061	1.088
1:161000001-161500000	1	161000001	161500000	1.178	0.974
1:161500001-162000000	1	161500001	162000000	1	0.936
1:162000001-162500000	1	162000001	162500000	0.974	1.085
1:162500001-163000000	1	162500001	163000000	0.914	1.03
1:163000001-163500000	1	163000001	163500000	1.066	1.02
1:163500001-164000000	1	163500001	164000000	0.943	1.048
1:164000001-164500000	1	164000001	164500000	1.09	1.037
1:164500001-165000000	1	164500001	165000000	0.914	0.979
1:165000001-165500000	1	165000001	165500000	0.986	1.003
1:165500001-166000000	1	165500001	166000000	0.94	0.929
1:166000001-166500000	1	166000001	166500000	1.064	1.146
1:166500001-167000000	1	166500001	167000000	1.052	1.02
1:167000001-167500000	1	167000001	167500000	1.008	0.998
1:167500001-168000000	1	167500001	168000000	1.084	0.959
1:168000001-168500000	1	168000001	168500000	1.03	0.973
1:168500001-169000000	1	168500001	169000000	1.007	0.997
1:169500001-170000000	1	169500001	170000000	1.076	0.97
1:170500001-171000000	1	170500001	171000000	1.062	1.055
1:171000001-171500000	1	171000001	171500000	0.85	1.025
1:171500001-172000000	1	171500001	172000000	0.974	0.98
1:172000001-172500000	1	172000001	172500000	1.038	1.075
1:173000001-173500000	1	173000001	173500000	1.154	1.061
1:173500001-174000000	1	173500001	174000000	0.959	0.963
1:174000001-174500000	1	174000001	174500000	1.023	0.962
1:174500001-175000000	1	174500001	175000000	1.083	1.061
1:175000001-175500000	1	175000001	175500000	1.03	1.039
1:175500001-176000000	1	175500001	176000000	1.05	1.067
1:176000001-176500000	1	176000001	176500000	1.039	1.067
1:176500001-177000000	1	176500001	177000000	1.018	0.959
1:177000001-177500000	1	177000001	177500000	0.973	1.034
1:177500001-178000000	1	177500001	178000000	1.121	1.049
1:178000001-178500000	1	178000001	178500000	0.752	0.939
1:178500001-179000000	1	178500001	179000000	1.004	1.008
1:179000001-179500000	1	179000001	179500000	1.059	0.902
1:179500001-180000000	1	179500001	180000000	1.062	0.992
1:180000001-180500000	1	180000001	180500000	1.005	0.936
1:180500001-181000000	1	180500001	181000000	0.877	0.947
1:181500001-182000000	1	181500001	182000000	1.156	1.151
1:182000001-182500000	1	182000001	182500000	1.039	1.02
1:182500001-183000000	1	182500001	183000000	0.993	1.008
1:183000001-183500000	1	183000001	183500000	1.121	0.982
1:183500001-184000000	1	183500001	184000000	1.042	0.988
1:184000001-184500000	1	184000001	184500000	1.156	1.027
1:184500001-185000000	1	184500001	185000000	0.966	1.003
1:185000001-185500000	1	185000001	185500000	1.02	1.012
1:185500001-186000000	1	185500001	186000000	1.085	1.038
1:186000001-186500000	1	186000001	186500000	0.959	1.018
1:186500001-187000000	1	186500001	187000000	1.016	1.027
1:187000001-187500000	1	187000001	187500000	1.002	0.929
1:187500001-188000000	1	187500001	188000000	1.084	0.901
1:188000001-188500000	1	188000001	188500000	0.969	1.003
1:188500001-189000000	1	188500001	189000000	0.97	0.99
1:189000001-189500000	1	189000001	189500000	1.026	0.995
1:189500001-190000000	1	189500001	190000000	0.991	0.931
1:190000001-190500000	1	190000001	190500000	1.057	0.908
1:190500001-191000000	1	190500001	191000000	1.135	0.982
1:191000001-191500000	1	191000001	191500000	0.93	0.988
1:192000001-192500000	1	192000001	192500000	1.042	1.023
1:192500001-193000000	1	192500001	193000000	1.035	0.957
1:193000001-193500000	1	193000001	193500000	0.984	0.924
1:193500001-194000000	1	193500001	194000000	0.966	1.011
1:194000001-194500000	1	194000001	194500000	1.027	0.939
1:194500001-195000000	1	194500001	195000000	0.935	0.973
1:195500001-196000000	1	195500001	196000000	1.023	0.979
1:196000001-196500000	1	196000001	196500000	1.086	1.111
1:197000001-197500000	1	197000001	197500000	0.992	0.935
1:197500001-198000000	1	197500001	198000000	1.11	1.113
1:198000001-198500000	1	198000001	198500000	1.061	1.06
1:198500001-199000000	1	198500001	199000000	1.176	1.005
1:199500001-200000000	1	199500001	200000000	1.215	1.049
1:200000001-200500000	1	200000001	200500000	0.892	0.967
1:200500001-201000000	1	200500001	201000000	1.01	1.073
1:201000001-201500000	1	201000001	201500000	0.936	0.996
1:201500001-202000000	1	201500001	202000000	1.041	1.054
1:202000001-202500000	1	202000001	202500000	0.948	1.047
1:202500001-203000000	1	202500001	203000000	1.04	1.23
1:203000001-203500000	1	203000001	203500000	1.006	1.097
1:203500001-204000000	1	203500001	204000000	1.106	1
1:204000001-204500000	1	204000001	204500000	1.051	1.003
1:204500001-205000000	1	204500001	205000000	1.037	1.012
1:205000001-205500000	1	205000001	205500000	1.116	1.057
1:205500001-206000000	1	205500001	206000000	1.068	1.082
1:206500001-207000000	1	206500001	207000000	1.057	0.975
1:207000001-207500000	1	207000001	207500000	0.883	0.95
1:207500001-208000000	1	207500001	208000000	1.06	1.033
1:208000001-208500000	1	208000001	208500000	1.032	0.976
1:208500001-209000000	1	208500001	209000000	0.989	1.088
1:209000001-209500000	1	209000001	209500000	1.117	1.043
1:209500001-210000000	1	209500001	210000000	1.012	0.95
1:210000001-210500000	1	210000001	210500000	1.034	1.022
1:210500001-211000000	1	210500001	211000000	1.094	1.109
1:211000001-211500000	1	211000001	211500000	1.042	1.003
1:211500001-212000000	1	211500001	212000000	1.01	0.957
1:212000001-212500000	1	212000001	212500000	0.831	0.978
1:212500001-213000000	1	212500001	213000000	1.055	1.041
1:213000001-213500000	1	213000001	213500000	1.029	1.022
1:213500001-214000000	1	213500001	214000000	1.08	1.032
1:214000001-214500000	1	214000001	214500000	1.094	0.989
1:216000001-216500000	1	216000001	216500000	1.05	0.942
1:216500001-217000000	1	216500001	217000000	1.106	0.966
1:217000001-217500000	1	217000001	217500000	1.121	1.031
1:217500001-218000000	1	217500001	218000000	1.022	1.026
1:218000001-218500000	1	218000001	218500000	1.123	1.034
1:218500001-219000000	1	218500001	219000000	1.109	0.969
1:219000001-219500000	1	219000001	219500000	1.044	1.006
1:219500001-220000000	1	219500001	220000000	1.1	1
1:220000001-220500000	1	220000001	220500000	0.965	0.982
1:220500001-221000000	1	220500001	221000000	0.963	1
1:221000001-221500000	1	221000001	221500000	1.064	1.034
1:221500001-222000000	1	221500001	222000000	1.026	1.031
1:222000001-222500000	1	222000001	222500000	1.099	1.06
1:222500001-223000000	1	222500001	223000000	1.045	0.994
1:223000001-223500000	1	223000001	223500000	1.029	1.146
1:224000001-224500000	1	224000001	224500000	0.891	0.986
1:224500001-225000000	1	224500001	225000000	1.055	1.036
1:225000001-225500000	1	225000001	225500000	1.052	1.018
1:225500001-226000000	1	225500001	226000000	0.952	0.975
1:226000001-226500000	1	226000001	226500000	1.019	0.891
1:227000001-227500000	1	227000001	227500000	1.043	0.988
1:228000001-228500000	1	228000001	228500000	0.895	0.964
1:228500001-229000000	1	228500001	229000000	1.361	1.153
1:229500001-230000000	1	229500001	230000000	1.172	0.999
1:230000001-230500000	1	230000001	230500000	1.029	0.908
1:230500001-231000000	1	230500001	231000000	1.072	0.97
1:231000001-231500000	1	231000001	231500000	1.142	0.988
1:231500001-232000000	1	231500001	232000000	1.017	1.028
1:232000001-232500000	1	232000001	232500000	0.953	1.064
1:232500001-233000000	1	232500001	233000000	0.981	1.029
1:233500001-234000000	1	233500001	234000000	0.951	1.106
1:234000001-234500000	1	234000001	234500000	0.999	0.959
1:234500001-235000000	1	234500001	235000000	0.999	0.923
1:235000001-235500000	1	235000001	235500000	1.02	0.907
1:236000001-236500000	1	236000001	236500000	0.999	0.978
1:236500001-237000000	1	236500001	237000000	0.923	1.004
1:237000001-237500000	1	237000001	237500000	1.016	1.016
1:238000001-238500000	1	238000001	238500000	1.122	1.001
1:238500001-239000000	1	238500001	239000000	1.007	1.04
1:239000001-239500000	1	239000001	239500000	1.042	1.08
1:239500001-240000000	1	239500001	240000000	0.942	1.053
1:240000001-240500000	1	240000001	240500000	1.048	0.955
1:240500001-241000000	1	240500001	241000000	0.925	0.984
1:241000001-241500000	1	241000001	241500000	1.109	1.001
1:241500001-242000000	1	241500001	242000000	0.938	1.044
1:242000001-242500000	1	242000001	242500000	1.008	0.999
1:243500001-244000000	1	243500001	244000000	0.992	1.076
1:244000001-244500000	1	244000001	244500000	1.014	0.957
1:244500001-245000000	1	244500001	245000000	1.173	0.96
1:245000001-245500000	1	245000001	245500000	1.118	0.936
1:245500001-246000000	1	245500001	246000000	0.929	1.056
1:246000001-246500000	1	246000001	246500000	0.941	1.102
1:246500001-247000000	1	246500001	247000000	0.989	0.889
1:247000001-247500000	1	247000001	247500000	0.94	1.065
1:247500001-248000000	1	247500001	248000000	1.12	0.915
2:1-500000	2	1	500000	1.097	0.951
2:1500001-2000000	2	1500001	2000000	1.044	1.044
2:2000001-2500000	2	2000001	2500000	1.041	1.022
2:2500001-3000000	2	2500001	3000000	1.118	0.947
2:3000001-3500000	2	3000001	3500000	1.041	0.97
2:3500001-4000000	2	3500001	4000000	0.918	1.003
2:4000001-4500000	2	4000001	4500000	0.993	0.959
2:4500001-5000000	2	4500001	5000000	0.961	0.993
2:5000001-5500000	2	5000001	5500000	0.992	0.978
2:5500001-6000000	2	5500001	6000000	1.059	0.954
2:6000001-6500000	2	6000001	6500000	0.906	1.029
2:6500001-7000000	2	6500001	7000000	1.089	0.972
2:7000001-7500000	2	7000001	7500000	1.034	1.025
2:7500001-8000000	2	7500001	8000000	1.006	1.028
2:8000001-8500000	2	8000001	8500000	1.033	1.057
2:8500001-9000000	2	8500001	9000000	0.942	0.987
