feature	chromosome	start	end	SLX-17922.D709tp_D508tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D503tp.HC22GBBXY.s_6.r_1	SLX-17922.D710tp_D506tp.HC22GBBXY.s_6.r_1
1:109000001-109500000	1	109000001	109500000	0.891	0.896	0.926
1:109500001-110000000	1	109500001	110000000	1.019	0.962	0.952
1:110000001-110500000	1	110000001	110500000	1.077	1.038	1.017
1:110500001-111000000	1	110500001	111000000	0.944	0.951	1.028
1:111000001-111500000	1	111000001	111500000	0.967	1.058	1.013
1:111500001-112000000	1	111500001	112000000	0.952	0.987	0.939
1:112000001-112500000	1	112000001	112500000	1.02	0.969	0.975
1:112500001-113000000	1	112500001	113000000	0.947	0.877	1.134
1:113000001-113500000	1	113000001	113500000	1.045	0.958	0.977
1:113500001-114000000	1	113500001	114000000	0.938	1.006	0.903
1:114000001-114500000	1	114000001	114500000	0.944	1.067	1.02
1:114500001-115000000	1	114500001	115000000	0.926	1.048	1.004
1:115000001-115500000	1	115000001	115500000	1.098	1.053	1.116
1:115500001-116000000	1	115500001	116000000	1.054	0.987	0.964
1:116000001-116500000	1	116000001	116500000	1.006	1.027	1.056
1:116500001-117000000	1	116500001	117000000	1.041	1.136	1.115
1:117000001-117500000	1	117000001	117500000	0.979	1.205	0.941
1:117500001-118000000	1	117500001	118000000	0.955	1.024	0.994
1:118000001-118500000	1	118000001	118500000	0.978	1.045	0.986
1:118500001-119000000	1	118500001	119000000	1.119	1.004	1.043
1:119000001-119500000	1	119000001	119500000	1.069	1.106	1.029
1:119500001-120000000	1	119500001	120000000	0.956	1.068	0.972
1:147500001-148000000	1	147500001	148000000	1.004	0.988	1.023
1:150000001-150500000	1	150000001	150500000	0.917	0.915	0.94
1:150500001-151000000	1	150500001	151000000	1.004	0.905	0.873
1:151000001-151500000	1	151000001	151500000	0.976	0.953	0.976
1:151500001-152000000	1	151500001	152000000	0.888	1.021	0.907
1:152000001-152500000	1	152000001	152500000	1.08	1.162	1.1
1:152500001-153000000	1	152500001	153000000	1.016	0.955	1.053
1:153000001-153500000	1	153000001	153500000	0.876	0.993	1.052
1:153500001-154000000	1	153500001	154000000	1.108	0.934	0.983
1:154000001-154500000	1	154000001	154500000	1.015	1.02	0.911
1:154500001-155000000	1	154500001	155000000	1.115	1.036	0.966
1:155000001-155500000	1	155000001	155500000	1.042	0.925	0.922
1:156000001-156500000	1	156000001	156500000	0.999	0.878	1.111
1:156500001-157000000	1	156500001	157000000	0.97	0.927	1.051
1:157000001-157500000	1	157000001	157500000	1.05	1.002	1.109
1:157500001-158000000	1	157500001	158000000	1.087	1.007	1.096
1:159500001-160000000	1	159500001	160000000	1.041	1.064	1.002
1:160000001-160500000	1	160000001	160500000	0.933	1.028	1.058
1:160500001-161000000	1	160500001	161000000	1.045	1.092	1.016
